Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
K11_OTHDISDIG,25,0.339 [0.314-0.36],1.358e-146,***,Other diseases of the digestive system,Digestive
E4_LIPOPROTNAS,242,0.306 [0.276-0.34],8.909e-83,***,"Disorder of lipoprotein metabolism, unspecified",Endocrine and metabolic
N14_RENALTUB,449,0.291 [0.282-0.30],1.000e-315,***,Renal tubulo-interstitial diseases,Genitourinary
M13_SOFTTISSUE,1904,0.230 [0.214-0.25],1.614e-165,***,Soft tissue disorders,Musculoskeletal
K11_OESSTODUO,43,0.214 [0.161-0.27],9.825e-10,***,"Diseases of oesophagus, stomach and duodenum",Digestive
CD2_BENIGN_COLON_NOS,212,0.194 [0.134-0.26],9.282e-05,***,"Benign neoplasm: Colon, unspecified",Neoplasms
E4_HYPERLIPNAS,1251,0.173 [0.153-0.19],4.264e-56,***,"Hyperlipidaemia, other/unspecified",Endocrine and metabolic
K11_FUNCDYSP,169,0.148 [0.140-0.16],1.000e-315,***,Functional dyspepsia,Digestive
E4_FH,518,0.148 [0.119-0.18],1.154e-18,***,Familial hypercholesterolemia,Endocrine and metabolic
JOINTPAIN,1595,0.139 [0.128-0.15],6.911e-133,***,Pain in joint,Musculoskeletal
I9_POSTAMI,149,0.137 [0.111-0.16],1.649e-18,***,Status post-ami,Circulatory
K11_OTHENTERCOL,751,0.114 [0.108-0.12],1.000e-315,***,Other noninfective gastroenteritis and colitis,Digestive
O15_PRETERM,17,0.111 [0.086-0.14],2.301e-12,***,Preterm labour and delivery,Pregnancy
M13_DORSALGIANAS,1009,0.109 [0.101-0.12],1.512e-164,***,Other/unspecified dorsalgia,Musculoskeletal
E4_METABOLIA,4834,0.103 [0.087-0.12],1.032e-31,***,Metabolic disorders,Endocrine and metabolic
G6_MIGRAINE_WITH_AURA,143,0.100 [0.091-0.11],3.340e-83,***,Migraine with aura,Nervous
D3_AGRANULOCYTOSIS,347,0.098 [0.095-0.10],1.000e-315,***,Agranulocytosis,Blood and immune
M13_LOWBACKPAIN,1988,0.098 [0.090-0.11],8.424e-140,***,Low back pain,Musculoskeletal
M13_MUSCLE,168,0.097 [0.092-0.10],1.000e-315,***,Disorders of muscles,Musculoskeletal
G6_NERPLEX,2804,0.096 [0.088-0.10],3.108e-104,***,"Nerve, nerve root and plexus disorders",Nervous
I9_OTHPER,110,0.090 [0.077-0.10],4.317e-32,***,Other peripheral vascular diseases,Circulatory
PD_DEMENTIA,12,0.084 [0.055-0.11],0.006,**,Dementia due to Parkinson's disease,Mental and behavioural
CD2_BENIGN_EAR_RESP,224,0.084 [0.075-0.09],1.756e-72,***,Benign neoplasm of middle ear and respiratory system,Neoplasms
L12_DERMATITISNAS,2477,0.082 [0.076-0.09],1.079e-154,***,Dermatitis,Skin
AB1_SEXUAL_TRANSMISSION,7171,0.082 [0.080-0.08],1.000e-315,***,Infections with a predominantly sexual mode of transmission,Infectious and parasitic
K11_CHRONGASTR,210,0.077 [0.067-0.09],2.496e-53,***,Chronic gastritis,Digestive
CD2_BENIGN_PAROTID,171,0.077 [0.070-0.08],6.258e-114,***,Benign neoplasm: Parotid gland,Neoplasms
L12_OTHERCONTACT,39,0.076 [0.051-0.10],3.201e-04,***,Other contact dermatitis,Skin
E4_ENDOGLAND,62,0.075 [0.056-0.09],5.634e-09,***,Disorders of other endocrine glands,Endocrine and metabolic
I9_ATHSCLE,3616,0.074 [0.070-0.08],6.775e-192,***,"Atherosclerosis, excluding cerebral and coronary sclerosis",Circulatory
F5_ALCOHOL_DEPENDENCE,95,0.073 [0.054-0.09],2.574e-08,***,Alcohol dependence,Mental and behavioural
K11_OTHINFLIV,466,0.070 [0.068-0.07],1.000e-315,***,Other inflammatory liver diseases,Digestive
M13_OTHERJOINT,3314,0.067 [0.060-0.07],1.878e-78,***,Other joint disorders,Musculoskeletal
E4_ENDOMETPOSTOP,4212,0.066 [0.064-0.07],1.000e-315,***,"Postprocedural endocrine and metabolic disorders, not elsewhere classified",Endocrine and metabolic
CD2_BENIGN_COLORECANI,1443,0.065 [0.048-0.08],1.315e-08,***,"Benign neoplasm of colon, rectum, anus and anal canal",Neoplasms
M13_THORACISPINEPAIN,151,0.065 [0.056-0.07],2.266e-42,***,Pain in thoracic spine,Musculoskeletal
M13_ARTHROPATHIES,7062,0.063 [0.058-0.07],1.944e-111,***,Arthropathies,Musculoskeletal
M13_SPONDYLOSIS,854,0.060 [0.050-0.07],9.140e-27,***,Spondylosis,Musculoskeletal
L12_OTHERSKINSUBCUTIS,3364,0.060 [0.054-0.07],3.788e-89,***,Other disorders of skin and subcutaneous tissue,Skin
L12_LICHENSIMPLEX,206,0.060 [0.057-0.06],2.608e-300,***,Lichen simplex chronicus,Skin
I9_CONDUCTIO,268,0.058 [0.049-0.07],5.820e-35,***,Conduction disorders,Circulatory
I9_UAP,1483,0.057 [0.047-0.07],3.144e-22,***,Unstable angina pectoris,Circulatory
K11_HAEMORR,329,0.056 [0.042-0.07],8.386e-09,***,Haemorrhoids and perianal venous thrombosis,Digestive
K11_CHOLANGI,1455,0.056 [0.055-0.06],1.000e-315,***,"Cholangitis (primary sclerosing, PSC)",Digestive
I9_SAH,322,0.054 [0.049-0.06],6.716e-121,***,Subarachnoid haemorrhage,Circulatory
CD2_NONFOLLICULAR_LYMPHOMA,1093,0.052 [0.049-0.06],1.603e-274,***,Non-follicular lymphoma,Neoplasms
M13_INTERVERTEB,3685,0.052 [0.046-0.06],1.223e-64,***,Other intervertebral disc disorders,Musculoskeletal
H8_HL_MIX_NAS,509,0.052 [0.043-0.06],2.239e-22,***,Mixed conductive and sensorineural hearing loss,Ear and mastoid
N14_URETHRAOTH,610,0.051 [0.043-0.06],2.593e-26,***,Other disorders of urethra and urinary system,Genitourinary
E4_THYROID,25555,0.051 [0.049-0.05],1.000e-315,***,Disorders of the thyroid gland,Endocrine and metabolic
M13_DORSOPATHYOTH,5393,0.051 [0.044-0.06],3.138e-46,***,"Other dorsopathies, not elsewhere classified",Musculoskeletal
L12_ABSCESS_CUT,66,0.050 [0.036-0.06],3.825e-07,***,"Cutaneous abscess, furuncle and carbuncle",Skin
C3_CERVIX_UTERI,81,0.050 [0.046-0.05],4.896e-123,***,Malignant neoplasm of cervix uteri,Neoplasms
AB1_SEXUAL_TRANSMISSION_NOS,10411,0.048 [0.047-0.05],1.000e-315,***,"Other predominantly sexually transmitted diseases, not elsewhere classified",Infectious and parasitic
H7_CONJUNCTIVITISACUNONATOPIC,214,0.047 [0.035-0.06],1.240e-07,***,"Conjunctivitis (acute, non atopic)",Eye and adnexa
L12_GRANULOMATOUSSKIN,404,0.047 [0.046-0.05],1.000e-315,***,Granulomatous disorders of skin and subcutaneous tissue,Skin
M13_MCTD,5075,0.047 [0.046-0.05],1.000e-315,***,Mixed connective tissue disease,Musculoskeletal
E4_ADDISON,668,0.047 [0.044-0.05],2.216e-261,***,Adrenocortical insufficiency,Endocrine and metabolic
