Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.781 [0.743 - 0.811],0.705 [0.703 - 0.707],0.705 [0.614 - 0.783],0.705 [0.703 - 0.707],0.001 [0.001 - 0.001],0.409 [0.319 - 0.487],0.002 [0.002 - 0.003]
Demographic,0.938 [0.914 - 0.963],0.911 [0.910 - 0.913],0.917 [0.856 - 0.964],0.911 [0.910 - 0.913],0.005 [0.004 - 0.006],0.828 [0.767 - 0.876],0.010 [0.008 - 0.012]
Metabolite+Demographic,0.956 [0.930 - 0.975],0.916 [0.915 - 0.917],0.912 [0.867 - 0.967],0.916 [0.915 - 0.917],0.005 [0.004 - 0.006],0.828 [0.783 - 0.882],0.011 [0.009 - 0.013]
