Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.582 [0.548 - 0.619],0.559 [0.558 - 0.562],0.561 [0.496 - 0.624],0.559 [0.557 - 0.562],0.001 [0.001 - 0.002],0.119 [0.054 - 0.185],0.003 [0.002 - 0.003]
Demographic,0.628 [0.592 - 0.671],0.604 [0.601 - 0.606],0.602 [0.534 - 0.672],0.604 [0.601 - 0.606],0.002 [0.001 - 0.002],0.206 [0.139 - 0.276],0.003 [0.002 - 0.004]
Metabolite+Demographic,0.601 [0.562 - 0.634],0.568 [0.566 - 0.570],0.565 [0.498 - 0.630],0.568 [0.566 - 0.570],0.001 [0.001 - 0.002],0.133 [0.068 - 0.198],0.003 [0.002 - 0.003]
