Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.495 [0.445 - 0.549],0.500 [0.498 - 0.503],0.498 [0.400 - 0.572],0.500 [0.498 - 0.503],0.001 [0.000 - 0.001],-0.001 [-0.100 - 0.073],0.001 [0.001 - 0.001]
Demographic,0.675 [0.629 - 0.718],0.641 [0.640 - 0.643],0.632 [0.545 - 0.717],0.641 [0.640 - 0.643],0.001 [0.001 - 0.001],0.273 [0.185 - 0.357],0.002 [0.002 - 0.002]
Metabolite+Demographic,0.667 [0.617 - 0.708],0.618 [0.617 - 0.620],0.623 [0.524 - 0.701],0.618 [0.617 - 0.620],0.001 [0.001 - 0.001],0.241 [0.141 - 0.320],0.002 [0.001 - 0.002]
