Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.612 [0.583 - 0.649],0.577 [0.575 - 0.579],0.578 [0.531 - 0.635],0.577 [0.575 - 0.579],0.003 [0.003 - 0.004],0.155 [0.108 - 0.213],0.006 [0.006 - 0.007]
Demographic,0.672 [0.649 - 0.698],0.633 [0.631 - 0.636],0.634 [0.583 - 0.684],0.633 [0.631 - 0.636],0.004 [0.004 - 0.005],0.267 [0.217 - 0.317],0.008 [0.007 - 0.009]
Metabolite+Demographic,0.700 [0.676 - 0.725],0.641 [0.639 - 0.644],0.643 [0.597 - 0.690],0.641 [0.639 - 0.644],0.004 [0.004 - 0.005],0.285 [0.238 - 0.332],0.009 [0.008 - 0.009]
