Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.686 [0.677 - 0.694],0.634 [0.632 - 0.635],0.634 [0.618 - 0.649],0.634 [0.632 - 0.636],0.032 [0.031 - 0.033],0.268 [0.252 - 0.282],0.060 [0.059 - 0.063]
Demographic,0.905 [0.900 - 0.909],0.846 [0.845 - 0.848],0.856 [0.844 - 0.865],0.846 [0.845 - 0.847],0.095 [0.093 - 0.098],0.702 [0.691 - 0.711],0.172 [0.167 - 0.177]
Metabolite+Demographic,0.907 [0.902 - 0.912],0.852 [0.850 - 0.853],0.851 [0.840 - 0.861],0.852 [0.850 - 0.853],0.098 [0.095 - 0.101],0.703 [0.692 - 0.713],0.176 [0.171 - 0.181]
