Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.502 [0.467 - 0.533],0.503 [0.501 - 0.505],0.503 [0.447 - 0.551],0.503 [0.501 - 0.505],0.001 [0.001 - 0.002],0.007 [-0.048 - 0.055],0.003 [0.003 - 0.003]
Demographic,0.514 [0.481 - 0.545],0.509 [0.507 - 0.511],0.514 [0.446 - 0.563],0.509 [0.507 - 0.511],0.001 [0.001 - 0.002],0.022 [-0.045 - 0.073],0.003 [0.003 - 0.003]
Metabolite+Demographic,0.522 [0.490 - 0.550],0.519 [0.517 - 0.522],0.520 [0.460 - 0.578],0.519 [0.517 - 0.522],0.002 [0.001 - 0.002],0.039 [-0.022 - 0.095],0.003 [0.003 - 0.004]
