Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.1168,0.0850,Creatinine
Phe,0.0518,0.0520,Phenylalanine
Val,0.0447,0.0427,Valine
XL-HDL-CE%,0.0178,0.0425,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
GlycA,0.0507,0.0419,Glycoprotein Acetyls
Gly,0.0612,0.0396,Glycine
Glu-lactate,0.0485,0.0396,Glucose-lactate
Sc-ala,0.0557,0.0368,Spectrometer-corrected alanine
XXL-VLDL-CE%,0.0197,0.0289,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Pyruvate,0.0307,0.0288,Pyruvate
XXL-VLDL-PL%,0.0158,0.0282,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Ile,0.0187,0.0271,Isoleucine
Acetoacetate,0.0187,0.0244,Acetoacetate
Citrate,0.0218,0.0231,Citrate
His,0.0248,0.0219,Histidine
XXL-VLDL-FC%,0.0180,0.0217,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Gln,0.0230,0.0217,Glutamine
DHA,0.0252,0.0217,Docosahexaenoic Acid
LDL-size,0.0140,0.0216,Average Diameter for LDL Particles
LA%,0.0178,0.0209,Linoleic Acid to Total-Fatty Acids percentage
Ala,0.0208,0.0198,Alanine
Albumin,0.0193,0.0182,Albumin
IDL-PL%,0.0165,0.0175,Phospholipids to Total-Lipids in IDL percentage
S-LDL-CE%,0.0167,0.0156,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Glu,0.0215,0.0151,Glucose
Acetate,0.0148,0.0144,Acetate
IDL-FC%,0.0090,0.0140,Free Cholesterol to Total-Lipids in IDL percentage
Tyr,0.0087,0.0128,Tyrosine
3-Hydroxybutyrate,0.0067,0.0123,3-Hydroxybutyrate
Total-BCAA,0.0097,0.0120,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
L-LDL-PL%,0.0123,0.0103,Phospholipids to Total-Lipids in Large LDL percentage
XL-HDL-FC%,0.0095,0.0097,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Omega-6/Omega-3,0.0088,0.0089,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
L-VLDL-TG%,0.0112,0.0079,Triglycerides to Total-Lipids in Large VLDL percentage
S-LDL-TG%,0.0053,0.0079,Triglycerides to Total-Lipids in Small LDL percentage
M-LDL-PL%,0.0055,0.0078,Phospholipids to Total-Lipids in Medium LDL percentage
IDL-CE%,0.0058,0.0075,Cholesteryl Esters to Total-Lipids in IDL percentage
XL-HDL-FC,0.0098,0.0071,Free Cholesterol in Very Large HDL
IDL-P,0.0067,0.0071,Concentration of IDL Particles
L-HDL-TG,0.0037,0.0068,Triglycerides in Large HDL
L-LDL-FC%,0.0072,0.0065,Free Cholesterol to Total-Lipids in Large LDL percentage
Acetone,0.0050,0.0061,Acetone
Omega-3%,0.0062,0.0060,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Omega-6%,0.0060,0.0058,Omega-6 Fatty Acids to Total-Fatty Acids percentage
Lactate,0.0048,0.0053,Lactate
L-HDL-FC%,0.0030,0.0045,Free Cholesterol to Total-Lipids in Large HDL percentage
S-LDL-PL%,0.0055,0.0045,Phospholipids to Total-Lipids in Small LDL percentage
XL-VLDL-PL%,0.0027,0.0037,Phospholipids to Total-Lipids in Very Large VLDL percentage
M-LDL-C%,0.0030,0.0036,Cholesterol to Total-Lipids in Medium LDL percentage
S-HDL-FC%,0.0028,0.0036,Free Cholesterol to Total-Lipids in Small HDL percentage
PUFA,0.0018,0.0035,Polyunsaturated Fatty Acids
SFA%,0.0015,0.0035,Saturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-FC%,0.0027,0.0030,Free Cholesterol to Total-Lipids in Medium LDL percentage
XL-HDL-C%,0.0025,0.0029,Cholesterol to Total-Lipids in Very Large HDL percentage
XXL-VLDL-C%,0.0022,0.0029,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XS-VLDL-PL%,0.0018,0.0028,Phospholipids to Total-Lipids in Very Small VLDL percentage
MUFA%,0.0007,0.0027,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
HDL-C,0.0022,0.0027,HDL Cholesterol
XXL-VLDL-TG%,0.0012,0.0026,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-VLDL-CE,0.0035,0.0025,Cholesteryl Esters in Medium VLDL
Leu,0.0048,0.0025,Leucine
IDL-C%,0.0008,0.0023,Cholesterol to Total-Lipids in IDL percentage
XS-VLDL-C%,0.0017,0.0021,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-LDL-CE%,0.0015,0.0019,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
L-LDL-CE%,0.0020,0.0019,Cholesteryl Esters to Total-Lipids in Large LDL percentage
L-VLDL-FC%,0.0015,0.0016,Free Cholesterol to Total-Lipids in Large VLDL percentage
S-LDL-FC%,0.0015,0.0015,Free Cholesterol to Total-Lipids in Small LDL percentage
S-HDL-PL%,0.0005,0.0014,Phospholipids to Total-Lipids in Small HDL percentage
L-HDL-CE%,0.0007,0.0011,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-LDL-FC,0.0005,0.0009,Free Cholesterol in Small LDL
XL-HDL-PL%,0.0003,0.0009,Phospholipids to Total-Lipids in Very Large HDL percentage
XS-VLDL-FC%,0.0003,0.0005,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
