Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
IDL-CE,0.1795,0.6215,Cholesteryl Esters in IDL
XS-VLDL-CE%,0.0815,0.0568,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
LA,0.1070,0.0439,Linoleic Acid
LA%,0.1335,0.0410,Linoleic Acid to Total-Fatty Acids percentage
IDL-C,0.0157,0.0392,Cholesterol in IDL
M-VLDL-CE,0.0203,0.0337,Cholesteryl Esters in Medium VLDL
S-LDL-CE%,0.0545,0.0308,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Creatinine,0.0865,0.0306,Creatinine
XS-VLDL-TG%,0.0412,0.0287,Triglycerides to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE,0.0113,0.0122,Cholesteryl Esters in Very Small VLDL
L-LDL-TG%,0.0345,0.0097,Triglycerides to Total-Lipids in Large LDL percentage
Remnant-C,0.0423,0.0094,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
XXL-VLDL-PL%,0.0488,0.0082,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-3%,0.0243,0.0073,Omega-3 Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-CE,0.0205,0.0068,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
L-HDL-PL%,0.0208,0.0041,Phospholipids to Total-Lipids in Large HDL percentage
Glu,0.0167,0.0038,Glucose
Gln,0.0160,0.0033,Glutamine
S-HDL-PL%,0.0085,0.0026,Phospholipids to Total-Lipids in Small HDL percentage
L-LDL-C%,0.0142,0.0021,Cholesterol to Total-Lipids in Large LDL percentage
XL-HDL-P,0.0032,0.0011,Concentration of Very Large HDL Particles
GlycA,0.0050,0.0005,Glycoprotein Acetyls
IDL-TG%,0.0023,0.0004,Triglycerides to Total-Lipids in IDL percentage
XXL-VLDL-TG,0.0025,0.0004,Triglycerides in Chylomicrons and Extremely Large VLDL
IDL-CE%,0.0017,0.0004,Cholesteryl Esters to Total-Lipids in IDL percentage
IDL-L,0.0020,0.0003,Total-Lipids in IDL
Gly,0.0015,0.0003,Glycine
VLDL-CE,0.0010,0.0003,Cholesteryl Esters in VLDL
S-LDL-FC%,0.0010,0.0002,Free Cholesterol to Total-Lipids in Small LDL percentage
IDL-FC%,0.0015,0.0001,Free Cholesterol to Total-Lipids in IDL percentage
XXL-VLDL-L,0.0003,0.0001,Total-Lipids in Chylomicrons and Extremely Large VLDL
Sc-ala,0.0002,5.0740e-05,Spectrometer-corrected alanine
Phe,0.0002,3.8854e-05,Phenylalanine
