Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
XS-VLDL-CE%,0.1805,0.3997,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
LA%,0.1828,0.1889,Linoleic Acid to Total-Fatty Acids percentage
S-LDL-PL,0.1457,0.1251,Phospholipids in Small LDL
L-LDL-TG,0.0490,0.0568,Triglycerides in Large LDL
ApoB/ApoA1,0.0495,0.0337,Apolipoprotein B to Apolipoprotein A1 ratio
IDL-P,0.0360,0.0296,Concentration of IDL Particles
XXL-VLDL-CE,0.0573,0.0239,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
ApoB,0.0158,0.0226,Apolipoprotein B
XS-VLDL-CE,0.0448,0.0186,Cholesteryl Esters in Very Small VLDL
L-HDL-CE%,0.0105,0.0132,Cholesteryl Esters to Total-Lipids in Large HDL percentage
LDL-TG,0.0075,0.0111,Triglycerides in LDL
GlycA,0.0228,0.0111,Glycoprotein Acetyls
L-HDL-PL%,0.0215,0.0110,Phospholipids to Total-Lipids in Large HDL percentage
Albumin,0.0318,0.0076,Albumin
S-LDL-CE%,0.0187,0.0068,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Omega-3%,0.0238,0.0067,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Gly,0.0213,0.0061,Glycine
Glu,0.0160,0.0046,Glucose
Omega-6/Omega-3,0.0123,0.0044,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
S-VLDL-CE,0.0042,0.0036,Cholesteryl Esters in Small VLDL
Glu-lactate,0.0118,0.0026,Glucose-lactate
L-HDL-C%,0.0040,0.0026,Cholesterol to Total-Lipids in Large HDL percentage
SFA%,0.0065,0.0019,Saturated Fatty Acids to Total-Fatty Acids percentage
Creatinine,0.0048,0.0016,Creatinine
XS-VLDL-TG%,0.0032,0.0015,Triglycerides to Total-Lipids in Very Small VLDL percentage
Unsaturation,0.0065,0.0015,Degree of Unsaturation
S-LDL-L,0.0028,0.0011,Total-Lipids in Small LDL
3-Hydroxybutyrate,0.0030,0.0007,3-Hydroxybutyrate
DHA%,0.0017,0.0005,Docosahexaenoic Acid to Total-Fatty Acids percentage
Omega-3,0.0013,0.0004,Omega-3 Fatty Acids
HDL-size,0.0005,0.0003,Average Diameter for HDL Particles
XS-VLDL-FC,0.0007,0.0002,Free Cholesterol in Very Small VLDL
XXL-VLDL-PL%,0.0007,0.0002,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-VLDL-FC%,0.0003,7.9846e-05,Free Cholesterol to Total-Lipids in Large VLDL percentage
S-LDL-FC,0.0002,2.6294e-05,Free Cholesterol in Small LDL
