Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
3-Hydroxybutyrate,0.1140,0.0679,3-Hydroxybutyrate
Citrate,0.0665,0.0594,Citrate
Gln,0.0752,0.0530,Glutamine
Pyruvate,0.0443,0.0495,Pyruvate
Lactate,0.0298,0.0467,Lactate
IDL-CE%,0.0530,0.0423,Cholesteryl Esters to Total-Lipids in IDL percentage
LDL-size,0.0228,0.0400,Average Diameter for LDL Particles
Acetone,0.0705,0.0394,Acetone
Leu,0.0325,0.0376,Leucine
His,0.0475,0.0339,Histidine
Ala,0.0153,0.0292,Alanine
Ile,0.0435,0.0285,Isoleucine
IDL-FC%,0.0312,0.0273,Free Cholesterol to Total-Lipids in IDL percentage
Tyr,0.0088,0.0267,Tyrosine
Gly,0.0228,0.0250,Glycine
XS-VLDL-PL%,0.0132,0.0234,Phospholipids to Total-Lipids in Very Small VLDL percentage
Albumin,0.0205,0.0231,Albumin
Creatinine,0.0137,0.0216,Creatinine
XXL-VLDL-C%,0.0097,0.0198,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Sc-ala,0.0103,0.0189,Spectrometer-corrected alanine
Acetoacetate,0.0210,0.0183,Acetoacetate
SFA%,0.0120,0.0168,Saturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-PL%,0.0167,0.0150,Phospholipids to Total-Lipids in Medium LDL percentage
Phe,0.0105,0.0138,Phenylalanine
GlycA,0.0155,0.0135,Glycoprotein Acetyls
Acetate,0.0112,0.0131,Acetate
Glu,0.0098,0.0108,Glucose
M-LDL-C%,0.0108,0.0103,Cholesterol to Total-Lipids in Medium LDL percentage
L-VLDL-PL%,0.0093,0.0095,Phospholipids to Total-Lipids in Large VLDL percentage
L-HDL-TG,0.0062,0.0095,Triglycerides in Large HDL
XXL-VLDL-CE%,0.0023,0.0089,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-LDL-CE%,0.0127,0.0085,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Glu-lactate,0.0060,0.0085,Glucose-lactate
M-LDL-CE%,0.0153,0.0082,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
S-HDL-P,0.0040,0.0081,Concentration of Small HDL Particles
XS-VLDL-FC%,0.0022,0.0079,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
PUFA%,0.0053,0.0069,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-FC%,0.0057,0.0069,Free Cholesterol to Total-Lipids in Very Large HDL percentage
LA%,0.0030,0.0068,Linoleic Acid to Total-Fatty Acids percentage
Omega-3%,0.0133,0.0063,Omega-3 Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-FC%,0.0043,0.0063,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
SFA,0.0035,0.0053,Saturated Fatty Acids
S-VLDL-P,0.0042,0.0052,Concentration of Small VLDL Particles
XXL-VLDL-C,0.0032,0.0048,Cholesterol in Chylomicrons and Extremely Large VLDL
XL-HDL-CE%,0.0023,0.0047,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Val,0.0028,0.0046,Valine
L-HDL-CE%,0.0042,0.0046,Cholesteryl Esters to Total-Lipids in Large HDL percentage
MUFA%,0.0048,0.0042,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Unsaturation,0.0027,0.0041,Degree of Unsaturation
IDL-PL%,0.0030,0.0040,Phospholipids to Total-Lipids in IDL percentage
M-HDL-PL%,0.0038,0.0038,Phospholipids to Total-Lipids in Medium HDL percentage
XXL-VLDL-TG%,0.0012,0.0034,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-TG%,0.0027,0.0028,Triglycerides to Total-Lipids in Medium HDL percentage
L-LDL-PL%,0.0020,0.0025,Phospholipids to Total-Lipids in Large LDL percentage
XL-HDL-FC,0.0018,0.0023,Free Cholesterol in Very Large HDL
PUFA/MUFA,0.0023,0.0023,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
L-HDL-PL%,0.0032,0.0022,Phospholipids to Total-Lipids in Large HDL percentage
Total-BCAA,0.0003,0.0021,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
L-VLDL-C%,0.0028,0.0018,Cholesterol to Total-Lipids in Large VLDL percentage
IDL-C%,0.0003,0.0017,Cholesterol to Total-Lipids in IDL percentage
XXL-VLDL-PL%,0.0005,0.0013,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-TG%,0.0002,0.0011,Triglycerides to Total-Lipids in Medium LDL percentage
S-HDL-PL%,0.0007,0.0011,Phospholipids to Total-Lipids in Small HDL percentage
Omega-6%,0.0008,0.0009,Omega-6 Fatty Acids to Total-Fatty Acids percentage
Omega-6/Omega-3,0.0017,0.0008,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
VLDL-size,0.0022,0.0008,Average Diameter for VLDL Particles
XL-HDL-P,0.0005,0.0005,Concentration of Very Large HDL Particles
