Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
GlycA,0.2263,0.2788,Glycoprotein Acetyls
Albumin,0.1243,0.1188,Albumin
Creatinine,0.1232,0.1155,Creatinine
PUFA/MUFA,0.0580,0.0942,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
PUFA%,0.0482,0.0865,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-TG%,0.0470,0.0482,Triglycerides to Total-Lipids in Large LDL percentage
Val,0.0613,0.0435,Valine
Total-BCAA,0.0383,0.0275,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
MUFA%,0.0312,0.0250,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-C%,0.0208,0.0229,Cholesterol to Total-Lipids in Large LDL percentage
Gly,0.0298,0.0177,Glycine
VLDL-size,0.0192,0.0161,Average Diameter for VLDL Particles
S-HDL-PL%,0.0245,0.0148,Phospholipids to Total-Lipids in Small HDL percentage
M-LDL-C%,0.0208,0.0144,Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-PL,0.0215,0.0137,Phospholipids in Medium HDL
LA%,0.0110,0.0105,Linoleic Acid to Total-Fatty Acids percentage
L-VLDL-PL%,0.0142,0.0081,Phospholipids to Total-Lipids in Large VLDL percentage
ApoB/ApoA1,0.0128,0.0068,Apolipoprotein B to Apolipoprotein A1 ratio
Omega-3%,0.0103,0.0060,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Sc-ala,0.0092,0.0047,Spectrometer-corrected alanine
S-LDL-PL%,0.0073,0.0035,Phospholipids to Total-Lipids in Small LDL percentage
DHA%,0.0053,0.0032,Docosahexaenoic Acid to Total-Fatty Acids percentage
Glu,0.0063,0.0030,Glucose
S-LDL-C%,0.0045,0.0029,Cholesterol to Total-Lipids in Small LDL percentage
Unsaturation,0.0038,0.0021,Degree of Unsaturation
Leu,0.0030,0.0018,Leucine
Glu-lactate,0.0032,0.0018,Glucose-lactate
PC,0.0017,0.0011,Phosphatidylcholines
L-HDL-PL%,0.0015,0.0008,Phospholipids to Total-Lipids in Large HDL percentage
S-HDL-PL,0.0017,0.0008,Phospholipids in Small HDL
Phe,0.0010,0.0006,Phenylalanine
3-Hydroxybutyrate,0.0013,0.0006,3-Hydroxybutyrate
XS-VLDL-CE,0.0008,0.0006,Cholesteryl Esters in Very Small VLDL
M-LDL-CE%,0.0010,0.0005,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Ala,0.0012,0.0005,Alanine
L-LDL-PL%,0.0008,0.0005,Phospholipids to Total-Lipids in Large LDL percentage
XS-VLDL-PL%,0.0008,0.0004,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-FC%,0.0007,0.0004,Free Cholesterol to Total-Lipids in IDL percentage
XL-HDL-C%,0.0008,0.0004,Cholesterol to Total-Lipids in Very Large HDL percentage
XS-VLDL-PL,0.0005,0.0002,Phospholipids in Very Small VLDL
IDL-PL%,0.0002,0.0001,Phospholipids to Total-Lipids in IDL percentage
Omega-6/Omega-3,0.0002,0.0001,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
LDL-size,0.0003,0.0001,Average Diameter for LDL Particles
