Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Acetate,0.0952,0.0726,Acetate
Lactate,0.0898,0.0669,Lactate
Acetoacetate,0.0608,0.0484,Acetoacetate
Tyr,0.0107,0.0470,Tyrosine
Acetone,0.0495,0.0457,Acetone
IDL-CE%,0.0503,0.0451,Cholesteryl Esters to Total-Lipids in IDL percentage
Ile,0.0477,0.0450,Isoleucine
Citrate,0.0370,0.0426,Citrate
Glu,0.0578,0.0391,Glucose
L-LDL-CE%,0.0353,0.0378,Cholesteryl Esters to Total-Lipids in Large LDL percentage
3-Hydroxybutyrate,0.0247,0.0311,3-Hydroxybutyrate
Leu,0.0183,0.0308,Leucine
GlycA,0.0248,0.0302,Glycoprotein Acetyls
Pyruvate,0.0245,0.0287,Pyruvate
IDL-PL%,0.0168,0.0280,Phospholipids to Total-Lipids in IDL percentage
Creatinine,0.0387,0.0275,Creatinine
Ala,0.0243,0.0256,Alanine
Gln,0.0173,0.0248,Glutamine
His,0.0180,0.0182,Histidine
S-HDL-FC%,0.0158,0.0170,Free Cholesterol to Total-Lipids in Small HDL percentage
L-LDL-C%,0.0163,0.0151,Cholesterol to Total-Lipids in Large LDL percentage
Albumin,0.0110,0.0147,Albumin
Unsaturation,0.0107,0.0140,Degree of Unsaturation
L-LDL-PL%,0.0083,0.0140,Phospholipids to Total-Lipids in Large LDL percentage
M-HDL-TG,0.0240,0.0136,Triglycerides in Medium HDL
XS-VLDL-CE%,0.0213,0.0129,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
M-LDL-PL%,0.0145,0.0127,Phospholipids to Total-Lipids in Medium LDL percentage
IDL-FC%,0.0117,0.0113,Free Cholesterol to Total-Lipids in IDL percentage
S-VLDL-CE%,0.0077,0.0080,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
HDL-L,0.0065,0.0070,Total-Lipids in HDL
PC,0.0108,0.0065,Phosphatidylcholines
LA%,0.0032,0.0065,Linoleic Acid to Total-Fatty Acids percentage
L-HDL-TG%,0.0045,0.0059,Triglycerides to Total-Lipids in Large HDL percentage
