Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
IDL-CE%,0.0633,0.1492,Cholesteryl Esters to Total-Lipids in IDL percentage
Glu,0.1277,0.1163,Glucose
LA,0.0747,0.0791,Linoleic Acid
L-LDL-TG%,0.0535,0.0688,Triglycerides to Total-Lipids in Large LDL percentage
LA%,0.0457,0.0669,Linoleic Acid to Total-Fatty Acids percentage
IDL-CE,0.0367,0.0634,Cholesteryl Esters in IDL
Creatinine,0.0747,0.0555,Creatinine
Albumin,0.0708,0.0504,Albumin
S-HDL-FC%,0.0627,0.0480,Free Cholesterol to Total-Lipids in Small HDL percentage
M-VLDL-FC,0.0252,0.0403,Free Cholesterol in Medium VLDL
Citrate,0.0488,0.0346,Citrate
3-Hydroxybutyrate,0.0448,0.0329,3-Hydroxybutyrate
L-HDL-FC%,0.0393,0.0302,Free Cholesterol to Total-Lipids in Large HDL percentage
Glu-lactate,0.0337,0.0240,Glucose-lactate
Leu,0.0370,0.0228,Leucine
S-LDL-CE%,0.0235,0.0203,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Total-BCAA,0.0240,0.0140,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Gln,0.0170,0.0118,Glutamine
S-LDL-PL%,0.0120,0.0091,Phospholipids to Total-Lipids in Small LDL percentage
Acetoacetate,0.0113,0.0078,Acetoacetate
L-VLDL-FC%,0.0132,0.0078,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-VLDL-C,0.0055,0.0076,Cholesterol in Medium VLDL
Omega-6/Omega-3,0.0127,0.0074,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Val,0.0117,0.0061,Valine
XS-VLDL-CE,0.0033,0.0059,Cholesteryl Esters in Very Small VLDL
S-LDL-C%,0.0040,0.0051,Cholesterol to Total-Lipids in Small LDL percentage
GlycA,0.0095,0.0050,Glycoprotein Acetyls
M-LDL-CE%,0.0028,0.0029,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Tyr,0.0032,0.0023,Tyrosine
Omega-3%,0.0020,0.0012,Omega-3 Fatty Acids to Total-Fatty Acids percentage
XL-HDL-PL%,0.0013,0.0008,Phospholipids to Total-Lipids in Very Large HDL percentage
LDL-size,0.0013,0.0008,Average Diameter for LDL Particles
Ile,0.0013,0.0007,Isoleucine
Sc-ala,0.0008,0.0006,Spectrometer-corrected alanine
L-LDL-C%,0.0005,0.0003,Cholesterol to Total-Lipids in Large LDL percentage
Omega-3,0.0002,0.0001,Omega-3 Fatty Acids
His,0.0003,0.0001,Histidine
