Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
LDL-P,0.88 [0.86-0.91],5.309e-09,***,Concentration of LDL Particles
Omega-3%,0.88 [0.86-0.91],1.694e-09,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
IDL-C%,0.88 [0.86-0.91],2.254e-14,***,Cholesterol to Total-Lipids in IDL percentage
IDL-L,0.88 [0.86-0.91],1.953e-10,***,Total-Lipids in IDL
S-LDL-CE,0.88 [0.85-0.91],5.546e-10,***,Cholesteryl Esters in Small LDL
L-LDL-P,0.88 [0.85-0.91],2.018e-09,***,Concentration of Large LDL Particles
HDL-P,0.88 [0.85-0.91],1.268e-07,***,Concentration of HDL Particles
M-LDL-CE,0.88 [0.85-0.91],8.586e-11,***,Cholesteryl Esters in Medium LDL
M-VLDL-C,0.88 [0.85-0.91],2.731e-10,***,Cholesterol in Medium VLDL
L-LDL-CE%,0.88 [0.85-0.90],9.006e-13,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Non-HDL-C,0.88 [0.85-0.90],4.776e-13,***,Total-Cholesterol Minus HDL-C
IDL-FC,0.88 [0.85-0.90],1.358e-10,***,Free Cholesterol in IDL
M-LDL-L,0.88 [0.85-0.90],7.384e-12,***,Total-Lipids in Medium LDL
M-VLDL-CE,0.87 [0.85-0.90],5.456e-11,***,Cholesteryl Esters in Medium VLDL
S-LDL-C,0.87 [0.85-0.90],8.907e-12,***,Cholesterol in Small LDL
LA,0.87 [0.85-0.90],4.937e-13,***,Linoleic Acid
IDL-CE%,0.87 [0.85-0.90],1.413e-16,***,Cholesteryl Esters to Total-Lipids in IDL percentage
LDL-L,0.87 [0.85-0.90],6.333e-14,***,Total-Lipids in LDL
IDL-C,0.87 [0.85-0.90],7.527e-13,***,Cholesterol in IDL
Total-FC,0.87 [0.85-0.90],2.506e-13,***,Total-Free Cholesterol
M-LDL-C,0.87 [0.85-0.90],7.256e-13,***,Cholesterol in Medium LDL
M-LDL-PL,0.87 [0.84-0.90],3.382e-12,***,Phospholipids in Medium LDL
S-HDL-P,0.87 [0.84-0.90],8.398e-12,***,Concentration of Small HDL Particles
S-HDL-C,0.87 [0.84-0.90],2.490e-12,***,Cholesterol in Small HDL
Omega-6,0.87 [0.84-0.90],1.497e-13,***,Omega-6 Fatty Acids
IDL-CE,0.87 [0.84-0.90],2.997e-13,***,Cholesteryl Esters in IDL
Total-P,0.87 [0.84-0.90],1.861e-10,***,Total-Concentration of Lipoprotein Particles
LDL-PL,0.87 [0.84-0.90],1.215e-13,***,Phospholipids in LDL
LDL-CE,0.87 [0.84-0.90],1.810e-14,***,Cholesteryl Esters in LDL
Clinical LDL-C,0.87 [0.84-0.89],1.575e-15,***,Clinical LDL Cholesterol
