Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-C%,0.87 [0.85-0.90],1.356e-10,***,Cholesterol to Total-Lipids in Large LDL percentage
XL-VLDL-CE%,0.87 [0.84-0.91],6.548e-06,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
L-LDL-FC,0.87 [0.84-0.91],8.211e-08,***,Free Cholesterol in Large LDL
XL-VLDL-C%,0.87 [0.84-0.91],1.782e-05,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
IDL-PL,0.87 [0.84-0.91],1.680e-07,***,Phospholipids in IDL
IDL-CE%,0.87 [0.84-0.90],7.262e-12,***,Cholesteryl Esters to Total-Lipids in IDL percentage
S-VLDL-FC%,0.87 [0.84-0.90],2.427e-10,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
XS-VLDL-C%,0.87 [0.84-0.90],3.456e-12,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE,0.87 [0.84-0.90],3.289e-07,***,Cholesteryl Esters in Very Small VLDL
IDL-L,0.87 [0.84-0.90],1.665e-09,***,Total-Lipids in IDL
S-HDL-FC,0.87 [0.84-0.90],5.098e-09,***,Free Cholesterol in Small HDL
Total-C,0.87 [0.84-0.90],4.704e-11,***,Total-Cholesterol
XS-VLDL-CE%,0.87 [0.84-0.89],1.806e-13,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
S-VLDL-PL%,0.86 [0.83-0.89],1.323e-10,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-HDL-P,0.86 [0.83-0.90],1.368e-09,***,Concentration of Small HDL Particles
Total-PL,0.86 [0.83-0.89],5.774e-11,***,Total-Phospholipids in Lipoprotein Particles
IDL-FC,0.86 [0.83-0.89],6.294e-10,***,Free Cholesterol in IDL
Total-CE,0.86 [0.83-0.89],1.421e-12,***,Total-Esterified Cholesterol
IDL-C,0.86 [0.83-0.89],1.317e-11,***,Cholesterol in IDL
IDL-CE,0.86 [0.83-0.89],7.126e-12,***,Cholesteryl Esters in IDL
M-HDL-C%,0.85 [0.82-0.88],4.234e-14,***,Cholesterol to Total-Lipids in Medium HDL percentage
S-HDL-CE,0.85 [0.82-0.89],7.015e-12,***,Cholesteryl Esters in Small HDL
S-HDL-C,0.85 [0.82-0.88],2.942e-12,***,Cholesterol in Small HDL
Phosphoglyc,0.85 [0.82-0.88],1.618e-12,***,Phosphoglycerides
PUFA/MUFA,0.85 [0.82-0.88],8.607e-14,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
SM,0.85 [0.82-0.88],7.317e-12,***,Sphingomyelins
XL-HDL-PL,0.85 [0.80-0.89],2.059e-04,***,Phospholipids in Very Large HDL
Cholines,0.84 [0.81-0.88],3.516e-14,***,Total-Cholines
XL-HDL-L,0.84 [0.80-0.88],1.712e-05,***,Total-Lipids in Very Large HDL
XL-HDL-P,0.84 [0.80-0.89],4.194e-05,***,Concentration of Very Large HDL Particles
PC,0.84 [0.81-0.87],8.110e-16,***,Phosphatidylcholines
Omega-3,0.84 [0.80-0.87],3.438e-14,***,Omega-3 Fatty Acids
Omega-3%,0.83 [0.80-0.86],3.500e-17,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-HDL-PL,0.83 [0.79-0.86],1.323e-15,***,Phospholipids in Medium HDL
Unsaturation,0.83 [0.80-0.86],1.081e-20,***,Degree of Unsaturation
DHA%,0.82 [0.80-0.85],1.566e-22,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
XL-HDL-C,0.82 [0.78-0.87],1.144e-07,***,Cholesterol in Very Large HDL
M-HDL-L,0.82 [0.78-0.85],1.001e-18,***,Total-Lipids in Medium HDL
HDL-size,0.81 [0.77-0.85],6.215e-11,***,Average Diameter for HDL Particles
Total-P,0.81 [0.77-0.84],1.886e-21,***,Total-Concentration of Lipoprotein Particles
M-HDL-FC%,0.80 [0.78-0.83],7.268e-29,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
HDL-P,0.80 [0.77-0.83],1.906e-21,***,Concentration of HDL Particles
HDL-PL,0.80 [0.77-0.84],3.973e-20,***,Phospholipids in HDL
ApoA1,0.80 [0.77-0.83],1.574e-21,***,Apolipoprotein A1
XL-HDL-CE,0.80 [0.76-0.84],2.055e-10,***,Cholesteryl Esters in Very Large HDL
M-HDL-P,0.80 [0.76-0.83],4.757e-20,***,Concentration of Medium HDL Particles
M-HDL-CE,0.79 [0.76-0.82],1.547e-23,***,Cholesteryl Esters in Medium HDL
HDL-L,0.79 [0.76-0.82],1.466e-23,***,Total-Lipids in HDL
M-HDL-C,0.79 [0.76-0.82],6.731e-24,***,Cholesterol in Medium HDL
DHA,0.78 [0.75-0.82],5.321e-27,***,Docosahexaenoic Acid
M-HDL-FC,0.78 [0.75-0.82],1.623e-22,***,Free Cholesterol in Medium HDL
L-HDL-PL,0.77 [0.73-0.81],1.218e-18,***,Phospholipids in Large HDL
L-HDL-L,0.77 [0.73-0.81],1.144e-19,***,Total-Lipids in Large HDL
HDL-FC,0.76 [0.73-0.80],2.005e-24,***,Free Cholesterol in HDL
HDL-C,0.76 [0.72-0.79],1.828e-29,***,HDL Cholesterol
HDL-CE,0.76 [0.72-0.79],2.035e-29,***,Cholesteryl Esters in HDL
L-HDL-FC,0.75 [0.71-0.80],7.965e-18,***,Free Cholesterol in Large HDL
L-HDL-C,0.75 [0.71-0.79],4.666e-20,***,Cholesterol in Large HDL
L-HDL-CE,0.75 [0.71-0.79],4.618e-20,***,Cholesteryl Esters in Large HDL
L-HDL-P,0.75 [0.70-0.79],2.734e-18,***,Concentration of Large HDL Particles
