Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-PL,1.36 [1.21-1.52],0.119,,Phospholipids in Very Large HDL
HDL-size,1.35 [1.20-1.51],0.090,,Average Diameter for HDL Particles
M-LDL-TG%,1.11 [1.01-1.22],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-LDL-FC%,1.06 [0.96-1.17],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-CE%,1.00 [0.92-1.10],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-LDL-C,0.78 [0.71-0.86],0.293,,Cholesterol in Medium LDL
M-LDL-L,0.78 [0.71-0.86],0.182,,Total-Lipids in Medium LDL
M-LDL-CE,0.78 [0.71-0.86],0.265,,Cholesteryl Esters in Medium LDL
S-HDL-P,0.78 [0.70-0.86],0.348,,Concentration of Small HDL Particles
M-LDL-PL,0.77 [0.70-0.85],0.162,,Phospholipids in Medium LDL
