Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-CE,0.89 [0.87-0.91],4.320e-12,***,Cholesteryl Esters in Medium LDL
Total-C,0.89 [0.87-0.91],9.399e-14,***,Total-Cholesterol
S-LDL-C%,0.89 [0.87-0.91],6.567e-15,***,Cholesterol to Total-Lipids in Small LDL percentage
LDL-L,0.89 [0.87-0.91],6.810e-14,***,Total-Lipids in LDL
M-LDL-L,0.89 [0.87-0.91],3.427e-13,***,Total-Lipids in Medium LDL
L-LDL-L,0.89 [0.87-0.91],6.341e-14,***,Total-Lipids in Large LDL
LDL-PL,0.89 [0.86-0.91],2.640e-13,***,Phospholipids in LDL
LDL-CE,0.89 [0.86-0.91],2.617e-14,***,Cholesteryl Esters in LDL
Total-CE,0.89 [0.86-0.91],1.524e-14,***,Total-Esterified Cholesterol
M-LDL-C,0.89 [0.86-0.91],1.577e-13,***,Cholesterol in Medium LDL
LDL-C,0.89 [0.86-0.91],1.061e-14,***,LDL Cholesterol
PUFA,0.89 [0.86-0.91],1.208e-13,***,Polyunsaturated Fatty Acids
L-LDL-PL,0.89 [0.86-0.91],1.793e-13,***,Phospholipids in Large LDL
LDL-FC,0.89 [0.86-0.91],6.491e-14,***,Free Cholesterol in LDL
L-LDL-C,0.89 [0.86-0.91],1.221e-14,***,Cholesterol in Large LDL
L-LDL-FC,0.89 [0.86-0.91],1.316e-13,***,Free Cholesterol in Large LDL
HDL-P,0.89 [0.86-0.91],1.267e-10,***,Concentration of HDL Particles
L-LDL-CE,0.89 [0.86-0.91],1.696e-14,***,Cholesteryl Esters in Large LDL
M-LDL-PL,0.88 [0.86-0.91],1.177e-13,***,Phospholipids in Medium LDL
S-HDL-FC,0.88 [0.86-0.91],2.273e-13,***,Free Cholesterol in Small HDL
M-LDL-FC,0.88 [0.86-0.91],1.113e-14,***,Free Cholesterol in Medium LDL
S-HDL-L,0.88 [0.86-0.91],1.419e-14,***,Total-Lipids in Small HDL
Total-P,0.88 [0.85-0.90],2.623e-13,***,Total-Concentration of Lipoprotein Particles
S-HDL-C,0.87 [0.84-0.89],3.135e-20,***,Cholesterol in Small HDL
S-HDL-CE,0.86 [0.84-0.89],1.707e-20,***,Cholesteryl Esters in Small HDL
S-HDL-P,0.86 [0.84-0.89],2.102e-20,***,Concentration of Small HDL Particles
