Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Phosphoglyc,0.78 [0.74-0.83],2.040e-12,***,Phosphoglycerides
M-VLDL-P,0.78 [0.73-0.83],2.821e-11,***,Concentration of Medium VLDL Particles
VLDL-C,0.78 [0.73-0.82],5.725e-13,***,VLDL Cholesterol
S-VLDL-CE,0.78 [0.73-0.82],6.478e-11,***,Cholesteryl Esters in Small VLDL
XS-VLDL-P,0.77 [0.73-0.82],4.126e-11,***,Concentration of Very Small VLDL Particles
M-VLDL-CE%,0.77 [0.74-0.80],2.077e-35,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
PUFA,0.77 [0.73-0.82],7.516e-15,***,Polyunsaturated Fatty Acids
M-VLDL-PL,0.77 [0.73-0.82],2.689e-13,***,Phospholipids in Medium VLDL
XL-HDL-PL,0.77 [0.70-0.84],8.474e-04,***,Phospholipids in Very Large HDL
PC,0.77 [0.72-0.81],1.502e-14,***,Phosphatidylcholines
HDL-P,0.76 [0.72-0.81],1.186e-11,***,Concentration of HDL Particles
S-VLDL-C,0.76 [0.72-0.81],7.953e-14,***,Cholesterol in Small VLDL
XS-VLDL-FC,0.76 [0.71-0.81],2.686e-13,***,Free Cholesterol in Very Small VLDL
Total-L,0.76 [0.72-0.80],1.278e-20,***,Total-Lipids in Lipoprotein Particles
Omega-6,0.76 [0.72-0.80],3.675e-18,***,Omega-6 Fatty Acids
L-VLDL-C%,0.76 [0.71-0.80],1.294e-14,***,Cholesterol to Total-Lipids in Large VLDL percentage
LA,0.76 [0.72-0.80],3.964e-19,***,Linoleic Acid
S-LDL-PL,0.75 [0.71-0.80],8.949e-17,***,Phospholipids in Small LDL
M-HDL-FC%,0.75 [0.72-0.80],4.074e-20,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
S-LDL-P,0.75 [0.71-0.80],4.842e-16,***,Concentration of Small LDL Particles
S-VLDL-CE%,0.75 [0.72-0.79],2.567e-23,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
L-HDL-L,0.75 [0.69-0.81],9.181e-07,***,Total-Lipids in Large HDL
M-LDL-P,0.75 [0.70-0.79],8.157e-17,***,Concentration of Medium LDL Particles
Cholines,0.75 [0.71-0.79],5.276e-19,***,Total-Cholines
XL-HDL-FC,0.75 [0.69-0.81],3.951e-08,***,Free Cholesterol in Very Large HDL
S-LDL-L,0.74 [0.70-0.79],1.173e-19,***,Total-Lipids in Small LDL
M-LDL-CE,0.74 [0.70-0.78],5.206e-20,***,Cholesteryl Esters in Medium LDL
M-VLDL-FC,0.74 [0.70-0.79],9.227e-18,***,Free Cholesterol in Medium VLDL
M-VLDL-C%,0.74 [0.71-0.77],1.970e-35,***,Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-FC,0.74 [0.70-0.78],8.202e-18,***,Free Cholesterol in Small VLDL
L-VLDL-CE%,0.74 [0.70-0.78],5.260e-19,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
VLDL-CE,0.74 [0.70-0.78],1.722e-19,***,Cholesteryl Esters in VLDL
Total-PL,0.74 [0.70-0.78],1.713e-22,***,Total-Phospholipids in Lipoprotein Particles
M-LDL-L,0.74 [0.70-0.78],3.396e-22,***,Total-Lipids in Medium LDL
S-LDL-CE,0.73 [0.69-0.78],1.393e-20,***,Cholesteryl Esters in Small LDL
XL-VLDL-FC%,0.73 [0.69-0.78],1.714e-14,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
Total-P,0.73 [0.69-0.78],2.640e-17,***,Total-Concentration of Lipoprotein Particles
HDL-CE,0.73 [0.68-0.78],4.601e-13,***,Cholesteryl Esters in HDL
M-LDL-PL,0.73 [0.69-0.77],5.775e-22,***,Phospholipids in Medium LDL
L-LDL-FC%,0.73 [0.69-0.76],2.552e-36,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-LDL-C%,0.73 [0.69-0.76],5.741e-39,***,Cholesterol to Total-Lipids in Medium LDL percentage
HDL-C,0.73 [0.68-0.78],1.053e-13,***,HDL Cholesterol
S-VLDL-C%,0.72 [0.69-0.76],1.028e-31,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-LDL-C,0.72 [0.68-0.77],2.198e-24,***,Cholesterol in Medium LDL
M-VLDL-FC%,0.72 [0.69-0.76],9.392e-35,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
XL-HDL-L,0.72 [0.66-0.79],8.197e-08,***,Total-Lipids in Very Large HDL
XL-VLDL-CE%,0.72 [0.68-0.77],4.134e-19,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
S-LDL-C,0.72 [0.68-0.76],5.495e-24,***,Cholesterol in Small LDL
IDL-C%,0.72 [0.69-0.75],4.064e-45,***,Cholesterol to Total-Lipids in IDL percentage
HDL-FC,0.72 [0.66-0.77],7.962e-13,***,Free Cholesterol in HDL
L-LDL-C%,0.72 [0.68-0.75],4.624e-41,***,Cholesterol to Total-Lipids in Large LDL percentage
LDL-P,0.72 [0.67-0.76],7.557e-23,***,Concentration of LDL Particles
ApoB,0.72 [0.68-0.76],4.049e-26,***,Apolipoprotein B
M-VLDL-PL%,0.71 [0.68-0.75],6.848e-39,***,Phospholipids to Total-Lipids in Medium VLDL percentage
IDL-CE%,0.71 [0.68-0.74],4.014e-43,***,Cholesteryl Esters to Total-Lipids in IDL percentage
LDL-L,0.71 [0.67-0.75],1.678e-31,***,Total-Lipids in LDL
XL-VLDL-C%,0.71 [0.67-0.76],5.649e-19,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
LDL-CE,0.71 [0.67-0.75],2.785e-30,***,Cholesteryl Esters in LDL
