Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-LDL-L,0.87 [0.84-0.90],2.142e-11,***,Total-Lipids in Small LDL
M-LDL-PL,0.87 [0.84-0.90],3.926e-11,***,Phospholipids in Medium LDL
M-VLDL-PL,0.87 [0.84-0.90],5.393e-11,***,Phospholipids in Medium VLDL
M-VLDL-PL%,0.87 [0.84-0.89],8.713e-15,***,Phospholipids to Total-Lipids in Medium VLDL percentage
M-LDL-C,0.87 [0.84-0.89],3.345e-12,***,Cholesterol in Medium LDL
S-LDL-CE,0.87 [0.84-0.89],6.869e-12,***,Cholesteryl Esters in Small LDL
S-LDL-P,0.86 [0.84-0.89],1.501e-11,***,Concentration of Small LDL Particles
S-LDL-C,0.86 [0.83-0.89],1.417e-12,***,Cholesterol in Small LDL
M-LDL-FC,0.86 [0.83-0.89],1.748e-12,***,Free Cholesterol in Medium LDL
XS-VLDL-L,0.86 [0.83-0.89],2.675e-11,***,Total-Lipids in Very Small VLDL
S-VLDL-CE,0.86 [0.83-0.89],5.059e-11,***,Cholesteryl Esters in Small VLDL
LDL-L,0.86 [0.83-0.89],1.015e-14,***,Total-Lipids in LDL
LDL-CE,0.86 [0.83-0.89],2.851e-14,***,Cholesteryl Esters in LDL
VLDL-C,0.86 [0.83-0.89],8.074e-13,***,VLDL Cholesterol
LDL-C,0.86 [0.83-0.89],3.768e-15,***,LDL Cholesterol
S-VLDL-C,0.86 [0.83-0.89],5.337e-12,***,Cholesterol in Small VLDL
XS-VLDL-P,0.86 [0.83-0.89],1.630e-11,***,Concentration of Very Small VLDL Particles
L-LDL-CE,0.86 [0.83-0.89],1.233e-14,***,Cholesteryl Esters in Large LDL
S-VLDL-FC,0.86 [0.83-0.89],1.034e-12,***,Free Cholesterol in Small VLDL
M-VLDL-FC,0.86 [0.83-0.89],6.413e-13,***,Free Cholesterol in Medium VLDL
L-LDL-L,0.86 [0.83-0.88],1.196e-15,***,Total-Lipids in Large LDL
