Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-FC%,0.92 [0.90-0.94],1.431e-09,***,Free Cholesterol to Total-Lipids in IDL percentage
XL-HDL-C,0.92 [0.90-0.94],4.693e-06,***,Cholesterol in Very Large HDL
IDL-PL,0.92 [0.90-0.94],1.449e-08,***,Phospholipids in IDL
S-LDL-FC,0.92 [0.90-0.94],1.558e-09,***,Free Cholesterol in Small LDL
M-HDL-L,0.92 [0.90-0.94],4.959e-08,***,Total-Lipids in Medium HDL
S-HDL-C,0.92 [0.90-0.94],6.817e-10,***,Cholesterol in Small HDL
Phosphoglyc,0.92 [0.90-0.94],1.701e-08,***,Phosphoglycerides
L-LDL-CE,0.92 [0.90-0.94],4.698e-10,***,Cholesteryl Esters in Large LDL
LDL-C,0.92 [0.90-0.94],2.339e-10,***,LDL Cholesterol
Omega-3%,0.92 [0.90-0.94],2.071e-09,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
S-HDL-CE,0.92 [0.90-0.94],1.904e-10,***,Cholesteryl Esters in Small HDL
Omega-3,0.92 [0.90-0.94],3.912e-09,***,Omega-3 Fatty Acids
M-LDL-FC%,0.92 [0.90-0.94],7.042e-10,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-L,0.92 [0.90-0.94],1.640e-10,***,Total-Lipids in Large LDL
M-LDL-FC,0.92 [0.90-0.93],5.346e-11,***,Free Cholesterol in Medium LDL
M-VLDL-FC%,0.91 [0.90-0.93],7.755e-11,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
XL-HDL-CE,0.91 [0.89-0.94],1.654e-07,***,Cholesteryl Esters in Very Large HDL
L-HDL-PL,0.91 [0.89-0.94],1.892e-07,***,Phospholipids in Large HDL
HDL-PL,0.91 [0.89-0.93],9.466e-09,***,Phospholipids in HDL
PC,0.91 [0.89-0.93],8.005e-10,***,Phosphatidylcholines
Total-PL,0.91 [0.89-0.93],1.700e-10,***,Total-Phospholipids in Lipoprotein Particles
PUFA,0.91 [0.89-0.93],8.085e-11,***,Polyunsaturated Fatty Acids
M-HDL-P,0.91 [0.89-0.93],1.530e-09,***,Concentration of Medium HDL Particles
M-HDL-CE%,0.91 [0.89-0.93],6.992e-12,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
L-LDL-PL,0.91 [0.89-0.93],4.069e-12,***,Phospholipids in Large LDL
L-LDL-C,0.91 [0.89-0.93],4.611e-12,***,Cholesterol in Large LDL
M-VLDL-CE%,0.91 [0.89-0.93],4.235e-13,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
Clinical LDL-C,0.91 [0.89-0.93],3.676e-13,***,Clinical LDL Cholesterol
L-HDL-FC,0.91 [0.89-0.93],3.010e-08,***,Free Cholesterol in Large HDL
Total-FC,0.91 [0.89-0.93],1.960e-12,***,Total-Free Cholesterol
M-VLDL-C%,0.91 [0.89-0.93],7.195e-13,***,Cholesterol to Total-Lipids in Medium VLDL percentage
SM,0.91 [0.89-0.93],1.908e-11,***,Sphingomyelins
Cholines,0.91 [0.89-0.93],1.874e-11,***,Total-Cholines
IDL-L,0.91 [0.89-0.93],5.861e-13,***,Total-Lipids in IDL
XL-HDL-CE%,0.91 [0.89-0.93],3.222e-14,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
M-HDL-FC,0.91 [0.89-0.93],6.388e-11,***,Free Cholesterol in Medium HDL
LDL-FC,0.91 [0.89-0.93],1.806e-14,***,Free Cholesterol in LDL
L-HDL-P,0.91 [0.88-0.93],2.313e-09,***,Concentration of Large HDL Particles
PUFA%,0.91 [0.89-0.93],2.921e-13,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-L,0.90 [0.88-0.93],7.291e-10,***,Total-Lipids in Large HDL
DHA%,0.90 [0.88-0.92],1.804e-13,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
Albumin,0.90 [0.88-0.92],5.452e-16,***,Albumin
ApoA1,0.90 [0.88-0.92],1.530e-12,***,Apolipoprotein A1
L-LDL-FC,0.90 [0.88-0.92],8.376e-16,***,Free Cholesterol in Large LDL
M-HDL-CE,0.90 [0.88-0.92],3.285e-13,***,Cholesteryl Esters in Medium HDL
M-HDL-C,0.90 [0.88-0.92],3.192e-13,***,Cholesterol in Medium HDL
IDL-FC,0.90 [0.88-0.92],3.334e-16,***,Free Cholesterol in IDL
L-HDL-CE%,0.90 [0.88-0.92],1.481e-16,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
HDL-L,0.90 [0.88-0.92],8.280e-13,***,Total-Lipids in HDL
S-VLDL-PL%,0.90 [0.88-0.92],1.325e-16,***,Phospholipids to Total-Lipids in Small VLDL percentage
IDL-CE,0.90 [0.88-0.92],3.246e-17,***,Cholesteryl Esters in IDL
S-VLDL-FC%,0.90 [0.88-0.92],1.208e-17,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
Total-C,0.90 [0.88-0.92],2.357e-17,***,Total-Cholesterol
IDL-C,0.90 [0.88-0.92],1.394e-17,***,Cholesterol in IDL
L-HDL-C,0.90 [0.88-0.92],7.308e-12,***,Cholesterol in Large HDL
L-HDL-C%,0.90 [0.88-0.92],2.764e-17,***,Cholesterol to Total-Lipids in Large HDL percentage
HDL-P,0.90 [0.88-0.92],1.529e-15,***,Concentration of HDL Particles
HDL-FC,0.90 [0.87-0.92],2.865e-13,***,Free Cholesterol in HDL
L-HDL-CE,0.90 [0.87-0.92],2.859e-12,***,Cholesteryl Esters in Large HDL
M-HDL-C%,0.90 [0.88-0.91],5.547e-18,***,Cholesterol to Total-Lipids in Medium HDL percentage
Total-CE,0.89 [0.87-0.91],7.086e-19,***,Total-Esterified Cholesterol
L-LDL-FC%,0.89 [0.87-0.91],4.147e-20,***,Free Cholesterol to Total-Lipids in Large LDL percentage
S-LDL-C%,0.89 [0.87-0.91],3.465e-22,***,Cholesterol to Total-Lipids in Small LDL percentage
Total-P,0.89 [0.87-0.91],1.540e-17,***,Total-Concentration of Lipoprotein Particles
M-LDL-C%,0.89 [0.87-0.91],1.366e-24,***,Cholesterol to Total-Lipids in Medium LDL percentage
DHA,0.89 [0.87-0.91],2.201e-18,***,Docosahexaenoic Acid
PUFA/MUFA,0.89 [0.87-0.91],6.830e-19,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XS-VLDL-C%,0.88 [0.86-0.90],8.018e-25,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
IDL-CE%,0.88 [0.86-0.90],2.571e-27,***,Cholesteryl Esters to Total-Lipids in IDL percentage
Unsaturation,0.88 [0.86-0.90],6.130e-23,***,Degree of Unsaturation
HDL-C,0.88 [0.86-0.90],1.155e-19,***,HDL Cholesterol
M-HDL-FC%,0.88 [0.86-0.90],3.366e-21,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
XS-VLDL-CE%,0.88 [0.86-0.90],7.775e-27,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
HDL-CE,0.88 [0.86-0.90],2.029e-20,***,Cholesteryl Esters in HDL
L-LDL-C%,0.88 [0.86-0.90],5.536e-27,***,Cholesterol to Total-Lipids in Large LDL percentage
IDL-C%,0.87 [0.86-0.89],3.385e-33,***,Cholesterol to Total-Lipids in IDL percentage
