Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-FC%,0.90 [0.88-0.93],7.343e-07,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-HDL-P,0.90 [0.87-0.93],2.447e-05,***,Concentration of Very Large HDL Particles
L-HDL-C,0.90 [0.87-0.93],3.072e-05,***,Cholesterol in Large HDL
XL-HDL-L,0.90 [0.87-0.93],9.253e-06,***,Total-Lipids in Very Large HDL
M-HDL-CE%,0.89 [0.87-0.92],8.990e-11,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
L-HDL-CE,0.89 [0.87-0.92],9.061e-06,***,Cholesteryl Esters in Large HDL
Unsaturation,0.89 [0.87-0.92],3.472e-09,***,Degree of Unsaturation
XS-VLDL-FC%,0.89 [0.87-0.92],7.949e-13,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-VLDL-C%,0.89 [0.87-0.92],7.312e-12,***,Cholesterol to Total-Lipids in Small VLDL percentage
S-HDL-C%,0.89 [0.87-0.92],6.500e-12,***,Cholesterol to Total-Lipids in Small HDL percentage
IDL-CE%,0.89 [0.87-0.91],1.207e-12,***,Cholesteryl Esters to Total-Lipids in IDL percentage
S-LDL-FC%,0.89 [0.87-0.91],7.333e-14,***,Free Cholesterol to Total-Lipids in Small LDL percentage
XL-HDL-FC,0.89 [0.86-0.92],1.655e-08,***,Free Cholesterol in Very Large HDL
M-VLDL-FC%,0.89 [0.86-0.91],1.464e-12,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
IDL-FC%,0.89 [0.86-0.91],3.441e-14,***,Free Cholesterol to Total-Lipids in IDL percentage
M-HDL-C%,0.88 [0.86-0.91],6.194e-13,***,Cholesterol to Total-Lipids in Medium HDL percentage
M-VLDL-CE%,0.88 [0.86-0.91],4.565e-16,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XL-VLDL-CE%,0.88 [0.86-0.91],1.020e-11,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,0.88 [0.86-0.91],1.985e-11,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
M-LDL-C%,0.88 [0.86-0.90],2.394e-17,***,Cholesterol to Total-Lipids in Medium LDL percentage
XL-HDL-CE,0.88 [0.85-0.91],6.727e-09,***,Cholesteryl Esters in Very Large HDL
XL-HDL-C,0.88 [0.85-0.91],2.578e-09,***,Cholesterol in Very Large HDL
M-VLDL-C%,0.88 [0.86-0.90],4.303e-16,***,Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-FC%,0.88 [0.86-0.90],5.588e-16,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
Omega-6%,0.88 [0.85-0.90],1.366e-16,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
L-LDL-C%,0.87 [0.85-0.90],2.815e-17,***,Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-CE%,0.87 [0.85-0.89],7.220e-20,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-VLDL-FC%,0.87 [0.85-0.90],3.181e-18,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
S-VLDL-PL%,0.87 [0.85-0.89],9.544e-18,***,Phospholipids to Total-Lipids in Small VLDL percentage
PUFA%,0.87 [0.85-0.89],5.555e-18,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
IDL-C%,0.87 [0.85-0.89],2.166e-21,***,Cholesterol to Total-Lipids in IDL percentage
L-HDL-C%,0.87 [0.84-0.89],8.528e-22,***,Cholesterol to Total-Lipids in Large HDL percentage
PUFA/MUFA,0.86 [0.84-0.89],2.228e-17,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
LA%,0.86 [0.84-0.88],1.426e-21,***,Linoleic Acid to Total-Fatty Acids percentage
L-LDL-FC%,0.86 [0.84-0.88],2.408e-24,***,Free Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-C%,0.86 [0.84-0.88],7.961e-24,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.86 [0.84-0.88],9.826e-24,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
