Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-VLDL-TG,1.16 [1.14-1.18],8.203e-63,***,Triglycerides in Medium VLDL
MUFA,1.16 [1.14-1.18],1.843e-58,***,Monounsaturated Fatty Acids
Tyr,1.14 [1.12-1.16],5.808e-49,***,Tyrosine
XXL-VLDL-PL%,1.13 [1.11-1.16],3.339e-30,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-HDL-PL%,1.13 [1.11-1.15],1.172e-35,***,Phospholipids to Total-Lipids in Small HDL percentage
Phe,1.10 [1.08-1.11],1.656e-21,***,Phenylalanine
XL-HDL-TG,1.09 [1.08-1.11],5.209e-23,***,Triglycerides in Very Large HDL
VLDL-L,1.09 [1.07-1.11],1.957e-18,***,Total-Lipids in VLDL
XL-VLDL-C,1.08 [1.06-1.09],8.857e-12,***,Cholesterol in Very Large VLDL
L-VLDL-C,1.07 [1.05-1.09],3.735e-09,***,Cholesterol in Large VLDL
SFA,1.06 [1.04-1.08],4.668e-07,***,Saturated Fatty Acids
S-LDL-PL%,1.06 [1.04-1.08],7.554e-05,***,Phospholipids to Total-Lipids in Small LDL percentage
Pyruvate,1.05 [1.04-1.07],7.895e-04,***,Pyruvate
S-VLDL-P,1.05 [1.03-1.06],0.050,*,Concentration of Small VLDL Particles
Acetone,0.95 [0.94-0.97],0.038,*,Acetone
S-HDL-FC,0.94 [0.92-0.96],1.827e-06,***,Free Cholesterol in Small HDL
His,0.94 [0.92-0.95],6.312e-08,***,Histidine
M-VLDL-L,0.94 [0.92-0.95],1.873e-08,***,Total-Lipids in Medium VLDL
S-HDL-P,0.92 [0.90-0.94],4.418e-16,***,Concentration of Small HDL Particles
L-LDL-CE%,0.92 [0.90-0.93],5.246e-20,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
M-HDL-PL,0.92 [0.90-0.93],3.429e-15,***,Phospholipids in Medium HDL
Omega-6/Omega-3,0.91 [0.90-0.93],1.714e-18,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
S-HDL-C,0.90 [0.88-0.92],6.270e-28,***,Cholesterol in Small HDL
L-VLDL-FC%,0.89 [0.88-0.91],1.361e-30,***,Free Cholesterol to Total-Lipids in Large VLDL percentage
S-HDL-CE,0.89 [0.88-0.91],2.128e-34,***,Cholesteryl Esters in Small HDL
S-LDL-CE%,0.89 [0.87-0.90],9.590e-36,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
XS-VLDL-PL,0.89 [0.87-0.90],1.186e-34,***,Phospholipids in Very Small VLDL
S-VLDL-PL,0.89 [0.87-0.90],2.716e-35,***,Phospholipids in Small VLDL
Gln,0.88 [0.87-0.89],2.063e-44,***,Glutamine
Acetate,0.88 [0.86-0.89],2.122e-43,***,Acetate
S-VLDL-CE,0.87 [0.86-0.89],1.431e-44,***,Cholesteryl Esters in Small VLDL
ApoB/ApoA1,0.87 [0.86-0.89],1.992e-46,***,Apolipoprotein B to Apolipoprotein A1 ratio
M-VLDL-P,0.87 [0.86-0.89],1.635e-47,***,Concentration of Medium VLDL Particles
M-HDL-L,0.87 [0.85-0.89],3.991e-43,***,Total-Lipids in Medium HDL
L-LDL-PL%,0.87 [0.85-0.88],6.678e-58,***,Phospholipids to Total-Lipids in Large LDL percentage
DHA%,0.87 [0.85-0.88],2.865e-54,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
VLDL-C,0.86 [0.85-0.88],1.043e-58,***,VLDL Cholesterol
DHA,0.86 [0.84-0.88],4.016e-51,***,Docosahexaenoic Acid
M-VLDL-PL,0.85 [0.84-0.87],2.047e-65,***,Phospholipids in Medium VLDL
XL-HDL-PL%,0.85 [0.83-0.86],1.349e-102,***,Phospholipids to Total-Lipids in Very Large HDL percentage
S-VLDL-C,0.84 [0.83-0.86],6.663e-73,***,Cholesterol in Small VLDL
XS-VLDL-L,0.84 [0.83-0.86],1.441e-76,***,Total-Lipids in Very Small VLDL
XL-VLDL-PL%,0.84 [0.83-0.85],6.700e-99,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
Phosphoglyc,0.84 [0.82-0.85],4.299e-79,***,Phosphoglycerides
XS-VLDL-P,0.84 [0.82-0.85],3.316e-78,***,Concentration of Very Small VLDL Particles
M-LDL-CE,0.83 [0.82-0.85],5.915e-92,***,Cholesteryl Esters in Medium LDL
S-LDL-P,0.83 [0.82-0.85],1.523e-90,***,Concentration of Small LDL Particles
M-HDL-P,0.82 [0.81-0.84],1.739e-78,***,Concentration of Medium HDL Particles
Total-L,0.82 [0.81-0.83],5.917e-114,***,Total-Lipids in Lipoprotein Particles
M-LDL-L,0.82 [0.81-0.83],8.083e-110,***,Total-Lipids in Medium LDL
S-LDL-CE,0.82 [0.80-0.83],4.475e-108,***,Cholesteryl Esters in Small LDL
M-LDL-P,0.82 [0.80-0.83],9.409e-106,***,Concentration of Medium LDL Particles
S-LDL-L,0.82 [0.80-0.83],2.056e-112,***,Total-Lipids in Small LDL
HDL-PL,0.82 [0.80-0.83],1.545e-85,***,Phospholipids in HDL
S-LDL-PL,0.82 [0.80-0.83],2.144e-113,***,Phospholipids in Small LDL
