Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
LA,0.87 [0.85-0.90],1.228e-15,***,Linoleic Acid
Omega-6,0.87 [0.85-0.90],3.171e-15,***,Omega-6 Fatty Acids
M-VLDL-TG,0.87 [0.85-0.90],3.493e-14,***,Triglycerides in Medium VLDL
S-LDL-C%,0.87 [0.85-0.90],1.352e-18,***,Cholesterol to Total-Lipids in Small LDL percentage
Total-CE,0.87 [0.85-0.90],2.994e-16,***,Total-Esterified Cholesterol
M-VLDL-CE,0.87 [0.85-0.90],1.379e-15,***,Cholesteryl Esters in Medium VLDL
VLDL-C,0.87 [0.85-0.90],5.986e-16,***,VLDL Cholesterol
VLDL-FC,0.87 [0.85-0.90],2.693e-15,***,Free Cholesterol in VLDL
Remnant-C,0.87 [0.85-0.90],4.681e-17,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
L-LDL-C%,0.87 [0.85-0.89],1.187e-18,***,Cholesterol to Total-Lipids in Large LDL percentage
Total-C,0.87 [0.85-0.90],5.037e-17,***,Total-Cholesterol
S-VLDL-PL,0.87 [0.84-0.90],9.428e-16,***,Phospholipids in Small VLDL
M-LDL-C%,0.87 [0.85-0.89],2.495e-21,***,Cholesterol to Total-Lipids in Medium LDL percentage
L-VLDL-C,0.87 [0.84-0.90],7.583e-15,***,Cholesterol in Large VLDL
L-LDL-CE%,0.87 [0.85-0.89],4.295e-19,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
L-VLDL-CE,0.87 [0.84-0.89],7.966e-16,***,Cholesteryl Esters in Large VLDL
Total-FC,0.87 [0.84-0.89],5.881e-18,***,Total-Free Cholesterol
S-VLDL-FC,0.87 [0.84-0.89],2.568e-17,***,Free Cholesterol in Small VLDL
L-LDL-FC,0.86 [0.84-0.89],4.963e-18,***,Free Cholesterol in Large LDL
M-LDL-CE%,0.86 [0.84-0.89],9.042e-18,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
XL-VLDL-CE,0.86 [0.84-0.89],1.189e-16,***,Cholesteryl Esters in Very Large VLDL
L-LDL-P,0.86 [0.84-0.89],6.355e-18,***,Concentration of Large LDL Particles
PUFA,0.86 [0.84-0.89],5.949e-18,***,Polyunsaturated Fatty Acids
L-LDL-L,0.86 [0.84-0.89],5.325e-20,***,Total-Lipids in Large LDL
ApoB,0.86 [0.84-0.89],7.629e-20,***,Apolipoprotein B
M-VLDL-C,0.86 [0.84-0.89],3.502e-19,***,Cholesterol in Medium VLDL
L-LDL-PL,0.86 [0.84-0.89],6.122e-20,***,Phospholipids in Large LDL
Non-HDL-C,0.86 [0.84-0.88],1.048e-21,***,Total-Cholesterol Minus HDL-C
LDL-FC,0.86 [0.84-0.88],1.490e-20,***,Free Cholesterol in LDL
L-LDL-C,0.86 [0.84-0.88],4.949e-21,***,Cholesterol in Large LDL
S-LDL-PL,0.86 [0.84-0.88],1.835e-20,***,Phospholipids in Small LDL
S-LDL-P,0.86 [0.83-0.88],9.752e-20,***,Concentration of Small LDL Particles
Clinical LDL-C,0.86 [0.84-0.88],8.143e-23,***,Clinical LDL Cholesterol
L-LDL-CE,0.86 [0.83-0.88],2.114e-21,***,Cholesteryl Esters in Large LDL
LDL-P,0.86 [0.83-0.88],1.249e-20,***,Concentration of LDL Particles
LDL-L,0.86 [0.83-0.88],3.756e-23,***,Total-Lipids in LDL
M-VLDL-FC,0.86 [0.83-0.88],9.951e-21,***,Free Cholesterol in Medium VLDL
M-VLDL-PL,0.86 [0.83-0.88],5.366e-21,***,Phospholipids in Medium VLDL
LDL-PL,0.85 [0.83-0.88],1.248e-22,***,Phospholipids in LDL
S-LDL-FC,0.85 [0.83-0.88],1.770e-22,***,Free Cholesterol in Small LDL
LDL-C,0.85 [0.83-0.88],2.473e-24,***,LDL Cholesterol
M-VLDL-L,0.85 [0.83-0.88],1.138e-22,***,Total-Lipids in Medium VLDL
M-VLDL-P,0.85 [0.83-0.88],1.041e-21,***,Concentration of Medium VLDL Particles
LDL-CE,0.85 [0.83-0.87],9.576e-25,***,Cholesteryl Esters in LDL
M-LDL-FC,0.85 [0.83-0.87],1.485e-23,***,Free Cholesterol in Medium LDL
M-LDL-P,0.85 [0.83-0.87],7.485e-23,***,Concentration of Medium LDL Particles
S-LDL-L,0.85 [0.82-0.87],1.366e-24,***,Total-Lipids in Small LDL
M-LDL-PL,0.85 [0.82-0.87],9.168e-25,***,Phospholipids in Medium LDL
M-LDL-L,0.84 [0.82-0.87],2.431e-26,***,Total-Lipids in Medium LDL
S-LDL-CE,0.84 [0.82-0.87],2.053e-25,***,Cholesteryl Esters in Small LDL
S-LDL-C,0.84 [0.82-0.87],2.594e-26,***,Cholesterol in Small LDL
M-LDL-C,0.84 [0.82-0.87],1.057e-27,***,Cholesterol in Medium LDL
M-LDL-CE,0.84 [0.82-0.86],1.769e-27,***,Cholesteryl Esters in Medium LDL
