Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
VLDL-PL,0.76 [0.72-0.81],6.411e-15,***,Phospholipids in VLDL
M-HDL-C%,0.76 [0.72-0.80],2.890e-19,***,Cholesterol to Total-Lipids in Medium HDL percentage
LDL-size,0.75 [0.71-0.79],1.140e-20,***,Average Diameter for LDL Particles
S-HDL-C,0.75 [0.71-0.79],9.925e-18,***,Cholesterol in Small HDL
Total-FA,0.75 [0.71-0.79],3.036e-19,***,Total-Fatty Acids
S-HDL-P,0.74 [0.70-0.79],6.330e-18,***,Concentration of Small HDL Particles
L-VLDL-CE,0.74 [0.70-0.79],8.055e-17,***,Cholesteryl Esters in Large VLDL
IDL-FC%,0.74 [0.70-0.77],4.549e-30,***,Free Cholesterol to Total-Lipids in IDL percentage
XXL-VLDL-CE%,0.73 [0.69-0.78],3.440e-18,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-PL%,0.73 [0.70-0.77],4.305e-35,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
XL-VLDL-CE,0.73 [0.69-0.78],1.043e-17,***,Cholesteryl Esters in Very Large VLDL
S-HDL-FC,0.73 [0.69-0.78],5.916e-20,***,Free Cholesterol in Small HDL
L-HDL-CE%,0.73 [0.70-0.76],7.415e-44,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-HDL-CE,0.72 [0.68-0.77],3.045e-17,***,Cholesteryl Esters in Medium HDL
M-LDL-FC%,0.72 [0.69-0.76],8.287e-34,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-C,0.71 [0.67-0.76],2.319e-19,***,Cholesterol in Medium HDL
S-LDL-CE%,0.71 [0.67-0.75],9.421e-31,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
M-HDL-P,0.71 [0.66-0.76],2.196e-18,***,Concentration of Medium HDL Particles
PUFA/MUFA,0.71 [0.67-0.75],2.369e-26,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
VLDL-P,0.70 [0.66-0.75],8.886e-25,***,Concentration of VLDL Particles
VLDL-FC,0.70 [0.66-0.74],3.996e-27,***,Free Cholesterol in VLDL
XS-VLDL-FC%,0.70 [0.67-0.73],1.440e-53,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-L,0.69 [0.65-0.73],9.085e-31,***,Total-Lipids in Medium VLDL
L-HDL-C%,0.69 [0.66-0.72],6.148e-63,***,Cholesterol to Total-Lipids in Large HDL percentage
HDL-PL,0.69 [0.64-0.73],1.126e-23,***,Phospholipids in HDL
ApoB/ApoA1,0.68 [0.64-0.72],1.490e-31,***,Apolipoprotein B to Apolipoprotein A1 ratio
S-HDL-FC%,0.67 [0.63-0.72],2.875e-30,***,Free Cholesterol to Total-Lipids in Small HDL percentage
M-VLDL-CE%,0.67 [0.65-0.69],1.198e-128,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
L-HDL-FC%,0.67 [0.64-0.69],1.394e-85,***,Free Cholesterol to Total-Lipids in Large HDL percentage
ApoA1,0.67 [0.62-0.71],6.705e-30,***,Apolipoprotein A1
M-HDL-FC,0.66 [0.62-0.71],1.601e-26,***,Free Cholesterol in Medium HDL
S-VLDL-PL,0.64 [0.61-0.68],6.200e-40,***,Phospholipids in Small VLDL
HDL-P,0.64 [0.60-0.69],3.142e-36,***,Concentration of HDL Particles
HDL-L,0.64 [0.60-0.68],2.746e-34,***,Total-Lipids in HDL
XS-VLDL-PL,0.64 [0.60-0.68],7.186e-40,***,Phospholipids in Very Small VLDL
S-VLDL-CE,0.64 [0.60-0.68],1.156e-40,***,Cholesteryl Esters in Small VLDL
HDL-size,0.63 [0.59-0.69],3.970e-24,***,Average Diameter for HDL Particles
S-VLDL-CE%,0.62 [0.59-0.65],1.407e-81,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
L-VLDL-C%,0.62 [0.59-0.66],1.797e-53,***,Cholesterol to Total-Lipids in Large VLDL percentage
Phosphoglyc,0.62 [0.59-0.66],4.629e-55,***,Phosphoglycerides
LA%,0.62 [0.59-0.65],1.927e-72,***,Linoleic Acid to Total-Fatty Acids percentage
VLDL-C,0.61 [0.58-0.65],1.920e-55,***,VLDL Cholesterol
M-VLDL-P,0.61 [0.58-0.65],1.357e-46,***,Concentration of Medium VLDL Particles
L-HDL-PL,0.61 [0.57-0.66],6.097e-28,***,Phospholipids in Large HDL
S-VLDL-C,0.61 [0.57-0.65],1.001e-50,***,Cholesterol in Small VLDL
M-LDL-C%,0.61 [0.58-0.63],1.826e-118,***,Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-FC%,0.61 [0.58-0.64],2.387e-76,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
M-VLDL-C%,0.60 [0.58-0.63],1.630e-131,***,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-PL,0.60 [0.57-0.64],2.926e-54,***,Phospholipids in Medium VLDL
L-LDL-FC%,0.60 [0.57-0.63],1.446e-106,***,Free Cholesterol to Total-Lipids in Large LDL percentage
PUFA,0.60 [0.57-0.64],1.577e-65,***,Polyunsaturated Fatty Acids
XS-VLDL-L,0.59 [0.56-0.63],3.339e-57,***,Total-Lipids in Very Small VLDL
PC,0.59 [0.56-0.63],7.261e-65,***,Phosphatidylcholines
L-LDL-C%,0.59 [0.57-0.62],1.048e-113,***,Cholesterol to Total-Lipids in Large LDL percentage
Total-L,0.59 [0.56-0.62],2.675e-80,***,Total-Lipids in Lipoprotein Particles
Total-P,0.59 [0.55-0.63],1.841e-54,***,Total-Concentration of Lipoprotein Particles
L-VLDL-CE%,0.59 [0.56-0.62],1.629e-69,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-LDL-L,0.59 [0.56-0.62],4.435e-70,***,Total-Lipids in Medium LDL
M-LDL-CE,0.59 [0.55-0.62],3.679e-66,***,Cholesteryl Esters in Medium LDL
S-LDL-C%,0.59 [0.56-0.61],6.088e-117,***,Cholesterol to Total-Lipids in Small LDL percentage
S-LDL-PL,0.59 [0.55-0.62],1.970e-65,***,Phospholipids in Small LDL
HDL-CE,0.58 [0.54-0.63],1.857e-45,***,Cholesteryl Esters in HDL
IDL-C%,0.58 [0.56-0.61],2.637e-132,***,Cholesterol to Total-Lipids in IDL percentage
M-VLDL-FC%,0.58 [0.56-0.61],9.322e-130,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
XS-VLDL-P,0.58 [0.54-0.62],2.063e-57,***,Concentration of Very Small VLDL Particles
M-LDL-PL,0.58 [0.54-0.61],1.414e-67,***,Phospholipids in Medium LDL
IDL-CE%,0.58 [0.55-0.60],5.184e-130,***,Cholesteryl Esters to Total-Lipids in IDL percentage
S-LDL-L,0.58 [0.54-0.61],2.265e-70,***,Total-Lipids in Small LDL
Cholines,0.57 [0.54-0.61],9.714e-76,***,Total-Cholines
Omega-6,0.57 [0.54-0.61],2.271e-79,***,Omega-6 Fatty Acids
S-VLDL-C%,0.57 [0.55-0.60],7.385e-112,***,Cholesterol to Total-Lipids in Small VLDL percentage
S-LDL-P,0.57 [0.54-0.61],1.486e-64,***,Concentration of Small LDL Particles
HDL-C,0.57 [0.53-0.61],3.393e-49,***,HDL Cholesterol
LA,0.57 [0.54-0.60],4.920e-87,***,Linoleic Acid
M-LDL-C,0.57 [0.54-0.60],6.867e-77,***,Cholesterol in Medium LDL
M-VLDL-PL%,0.57 [0.54-0.59],3.039e-145,***,Phospholipids to Total-Lipids in Medium VLDL percentage
S-LDL-CE,0.57 [0.53-0.60],6.280e-71,***,Cholesteryl Esters in Small LDL
S-VLDL-FC,0.56 [0.53-0.60],1.272e-65,***,Free Cholesterol in Small VLDL
XL-VLDL-CE%,0.56 [0.53-0.60],7.212e-70,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
L-HDL-L,0.56 [0.52-0.61],5.337e-39,***,Total-Lipids in Large HDL
M-LDL-P,0.56 [0.53-0.60],1.482e-66,***,Concentration of Medium LDL Particles
XL-VLDL-FC%,0.56 [0.53-0.60],8.081e-65,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
VLDL-CE,0.56 [0.53-0.60],9.702e-75,***,Cholesteryl Esters in VLDL
XS-VLDL-FC,0.56 [0.52-0.60],2.363e-65,***,Free Cholesterol in Very Small VLDL
M-VLDL-FC,0.56 [0.52-0.59],3.581e-68,***,Free Cholesterol in Medium VLDL
Total-PL,0.56 [0.53-0.59],3.521e-89,***,Total-Phospholipids in Lipoprotein Particles
LDL-L,0.56 [0.53-0.59],1.421e-98,***,Total-Lipids in LDL
LDL-CE,0.55 [0.52-0.58],5.403e-95,***,Cholesteryl Esters in LDL
S-LDL-C,0.55 [0.52-0.58],2.159e-80,***,Cholesterol in Small LDL
XL-HDL-PL,0.54 [0.50-0.59],2.122e-38,***,Phospholipids in Very Large HDL
