Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Non-HDL-C,0.93 [0.92-0.95],2.203e-09,***,Total-Cholesterol Minus HDL-C
XL-HDL-PL,0.93 [0.92-0.95],1.162e-05,***,Phospholipids in Very Large HDL
Albumin,0.93 [0.92-0.95],4.236e-09,***,Albumin
L-HDL-C,0.93 [0.92-0.95],2.439e-05,***,Cholesterol in Large HDL
LDL-PL,0.93 [0.92-0.95],1.067e-09,***,Phospholipids in LDL
LDL-C,0.93 [0.92-0.95],6.101e-10,***,LDL Cholesterol
L-HDL-CE,0.93 [0.91-0.95],7.906e-06,***,Cholesteryl Esters in Large HDL
L-VLDL-C%,0.93 [0.92-0.95],1.665e-09,***,Cholesterol to Total-Lipids in Large VLDL percentage
M-HDL-CE%,0.93 [0.92-0.95],3.485e-10,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
Total-C,0.93 [0.92-0.95],2.716e-10,***,Total-Cholesterol
IDL-PL,0.93 [0.91-0.95],2.052e-10,***,Phospholipids in IDL
L-LDL-C,0.93 [0.91-0.95],5.617e-11,***,Cholesterol in Large LDL
M-VLDL-C,0.93 [0.91-0.95],3.264e-11,***,Cholesterol in Medium VLDL
Total-CE,0.93 [0.91-0.95],1.279e-10,***,Total-Esterified Cholesterol
M-HDL-FC%,0.93 [0.91-0.95],6.108e-08,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
Citrate,0.93 [0.91-0.95],1.482e-10,***,Citrate
S-HDL-CE%,0.93 [0.91-0.94],7.662e-12,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
L-HDL-FC%,0.93 [0.91-0.94],7.307e-12,***,Free Cholesterol to Total-Lipids in Large HDL percentage
L-LDL-PL,0.93 [0.91-0.94],2.258e-12,***,Phospholipids in Large LDL
IDL-P,0.93 [0.91-0.94],2.058e-13,***,Concentration of IDL Particles
IDL-L,0.92 [0.91-0.94],1.886e-13,***,Total-Lipids in IDL
M-LDL-FC,0.92 [0.91-0.94],8.712e-14,***,Free Cholesterol in Medium LDL
XL-HDL-L,0.92 [0.91-0.94],3.270e-09,***,Total-Lipids in Very Large HDL
M-HDL-C%,0.92 [0.91-0.94],2.592e-13,***,Cholesterol to Total-Lipids in Medium HDL percentage
Clinical LDL-C,0.92 [0.91-0.94],2.061e-15,***,Clinical LDL Cholesterol
L-VLDL-CE%,0.92 [0.90-0.94],7.011e-14,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
XL-HDL-P,0.92 [0.90-0.94],1.546e-10,***,Concentration of Very Large HDL Particles
S-VLDL-CE%,0.92 [0.90-0.94],5.942e-17,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
S-LDL-FC,0.92 [0.90-0.93],7.279e-18,***,Free Cholesterol in Small LDL
LDL-FC,0.92 [0.90-0.93],4.318e-18,***,Free Cholesterol in LDL
M-VLDL-CE,0.92 [0.90-0.93],2.681e-18,***,Cholesteryl Esters in Medium VLDL
S-LDL-FC%,0.92 [0.90-0.93],2.404e-20,***,Free Cholesterol to Total-Lipids in Small LDL percentage
IDL-CE,0.92 [0.90-0.93],2.937e-18,***,Cholesteryl Esters in IDL
L-LDL-FC,0.91 [0.90-0.93],8.252e-19,***,Free Cholesterol in Large LDL
XS-VLDL-FC%,0.91 [0.90-0.93],3.401e-21,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
IDL-C,0.91 [0.90-0.93],2.838e-19,***,Cholesterol in IDL
Unsaturation,0.91 [0.90-0.93],6.114e-17,***,Degree of Unsaturation
S-HDL-C%,0.91 [0.90-0.93],6.353e-20,***,Cholesterol to Total-Lipids in Small HDL percentage
XL-VLDL-CE%,0.91 [0.90-0.93],3.812e-17,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
IDL-FC,0.91 [0.90-0.93],4.964e-20,***,Free Cholesterol in IDL
S-LDL-C%,0.91 [0.90-0.93],8.181e-22,***,Cholesterol to Total-Lipids in Small LDL percentage
XL-VLDL-FC%,0.91 [0.89-0.93],2.014e-17,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-HDL-CE,0.91 [0.89-0.93],6.524e-14,***,Cholesteryl Esters in Very Large HDL
XL-HDL-FC,0.91 [0.89-0.93],1.883e-16,***,Free Cholesterol in Very Large HDL
IDL-FC%,0.91 [0.90-0.93],1.505e-22,***,Free Cholesterol to Total-Lipids in IDL percentage
M-VLDL-PL%,0.91 [0.89-0.93],2.126e-22,***,Phospholipids to Total-Lipids in Medium VLDL percentage
XL-VLDL-C%,0.91 [0.89-0.93],3.675e-18,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-HDL-C,0.91 [0.89-0.93],3.964e-15,***,Cholesterol in Very Large HDL
M-LDL-FC%,0.91 [0.89-0.92],9.712e-23,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
