Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
ApoA1,0.95 [0.93-0.96],9.837e-06,***,Apolipoprotein A1
Total-CE,0.95 [0.93-0.96],1.864e-07,***,Total-Esterified Cholesterol
IDL-L,0.95 [0.93-0.96],1.007e-07,***,Total-Lipids in IDL
M-HDL-FC,0.95 [0.93-0.96],4.767e-06,***,Free Cholesterol in Medium HDL
M-VLDL-C%,0.94 [0.93-0.96],2.210e-08,***,Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-PL%,0.94 [0.93-0.96],5.071e-08,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-VLDL-FC%,0.94 [0.93-0.96],1.706e-08,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
L-LDL-FC%,0.94 [0.93-0.96],1.031e-08,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-FC%,0.94 [0.93-0.96],1.167e-08,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
IDL-CE,0.94 [0.93-0.96],1.091e-08,***,Cholesteryl Esters in IDL
IDL-C,0.94 [0.93-0.96],2.955e-09,***,Cholesterol in IDL
HDL-PL,0.94 [0.93-0.96],5.519e-07,***,Phospholipids in HDL
XL-VLDL-FC%,0.94 [0.93-0.96],1.690e-08,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
PUFA%,0.94 [0.93-0.96],8.452e-09,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Val,0.94 [0.93-0.96],9.107e-09,***,Valine
IDL-FC,0.94 [0.93-0.95],4.554e-10,***,Free Cholesterol in IDL
XS-VLDL-C%,0.94 [0.92-0.95],6.933e-12,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
L-HDL-FC%,0.94 [0.92-0.95],7.579e-13,***,Free Cholesterol to Total-Lipids in Large HDL percentage
HDL-L,0.94 [0.92-0.95],1.249e-09,***,Total-Lipids in HDL
XS-VLDL-CE%,0.93 [0.92-0.95],6.183e-13,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
S-HDL-FC%,0.93 [0.92-0.95],1.751e-12,***,Free Cholesterol to Total-Lipids in Small HDL percentage
HDL-CE,0.93 [0.91-0.94],1.962e-12,***,Cholesteryl Esters in HDL
HDL-C,0.93 [0.91-0.94],1.193e-13,***,HDL Cholesterol
Omega-3,0.93 [0.91-0.94],4.168e-17,***,Omega-3 Fatty Acids
HDL-FC,0.92 [0.90-0.94],2.591e-16,***,Free Cholesterol in HDL
L-HDL-PL,0.92 [0.90-0.93],7.551e-17,***,Phospholipids in Large HDL
Omega-3%,0.92 [0.90-0.93],8.905e-24,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
DHA%,0.92 [0.90-0.93],2.019e-23,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
HDL-size,0.91 [0.90-0.93],1.937e-17,***,Average Diameter for HDL Particles
Unsaturation,0.91 [0.90-0.93],3.853e-23,***,Degree of Unsaturation
PUFA/MUFA,0.91 [0.90-0.93],4.173e-22,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Albumin,0.91 [0.90-0.93],4.786e-27,***,Albumin
L-HDL-L,0.91 [0.90-0.93],3.512e-19,***,Total-Lipids in Large HDL
DHA,0.91 [0.90-0.93],4.409e-25,***,Docosahexaenoic Acid
M-HDL-FC%,0.91 [0.90-0.93],6.244e-23,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
XL-HDL-FC,0.91 [0.90-0.93],1.774e-23,***,Free Cholesterol in Very Large HDL
L-HDL-P,0.91 [0.89-0.92],1.195e-20,***,Concentration of Large HDL Particles
L-HDL-CE,0.91 [0.89-0.92],4.858e-21,***,Cholesteryl Esters in Large HDL
L-HDL-C,0.91 [0.89-0.92],1.642e-21,***,Cholesterol in Large HDL
XL-HDL-PL,0.91 [0.89-0.92],3.867e-23,***,Phospholipids in Very Large HDL
L-HDL-FC,0.91 [0.89-0.92],1.302e-22,***,Free Cholesterol in Large HDL
XL-HDL-L,0.90 [0.89-0.92],2.608e-25,***,Total-Lipids in Very Large HDL
XL-HDL-P,0.90 [0.89-0.92],5.269e-26,***,Concentration of Very Large HDL Particles
XL-HDL-C,0.90 [0.88-0.92],1.723e-27,***,Cholesterol in Very Large HDL
XL-HDL-CE,0.90 [0.88-0.91],1.760e-27,***,Cholesteryl Esters in Very Large HDL
