Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.3503,0.6596,Creatinine
Gly,0.1767,0.0696,Glycine
GlycA,0.0927,0.0477,Glycoprotein Acetyls
XL-HDL-FC%,0.0518,0.0458,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Omega-3,0.0542,0.0291,Omega-3 Fatty Acids
PC,0.0617,0.0285,Phosphatidylcholines
HDL-FC,0.0395,0.0254,Free Cholesterol in HDL
M-HDL-FC%,0.0220,0.0166,Free Cholesterol to Total-Lipids in Medium HDL percentage
Phosphoglyc,0.0265,0.0126,Phosphoglycerides
L-HDL-FC,0.0198,0.0095,Free Cholesterol in Large HDL
PUFA,0.0192,0.0085,Polyunsaturated Fatty Acids
Cholines,0.0090,0.0077,Total-Cholines
XL-HDL-L,0.0090,0.0058,Total-Lipids in Very Large HDL
SM,0.0052,0.0053,Sphingomyelins
XL-HDL-PL,0.0078,0.0049,Phospholipids in Very Large HDL
L-HDL-PL,0.0075,0.0044,Phospholipids in Large HDL
XS-VLDL-PL,0.0060,0.0031,Phospholipids in Very Small VLDL
Total-PL,0.0030,0.0028,Total-Phospholipids in Lipoprotein Particles
HDL-PL,0.0053,0.0028,Phospholipids in HDL
XS-VLDL-C,0.0045,0.0026,Cholesterol in Very Small VLDL
L-HDL-P,0.0052,0.0013,Concentration of Large HDL Particles
IDL-FC%,0.0030,0.0009,Free Cholesterol to Total-Lipids in IDL percentage
M-HDL-PL%,0.0032,0.0007,Phospholipids to Total-Lipids in Medium HDL percentage
IDL-PL,0.0020,0.0007,Phospholipids in IDL
L-HDL-L,0.0018,0.0006,Total-Lipids in Large HDL
Omega-6/Omega-3,0.0017,0.0006,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XL-HDL-PL%,0.0012,0.0005,Phospholipids to Total-Lipids in Very Large HDL percentage
Ile,0.0020,0.0004,Isoleucine
Unsaturation,0.0010,0.0004,Degree of Unsaturation
XL-HDL-C%,0.0017,0.0004,Cholesterol to Total-Lipids in Very Large HDL percentage
Ala,0.0013,0.0003,Alanine
Sc-ala,0.0012,0.0002,Spectrometer-corrected alanine
LDL-size,0.0012,0.0002,Average Diameter for LDL Particles
IDL-PL%,0.0010,0.0002,Phospholipids to Total-Lipids in IDL percentage
XS-VLDL-L,0.0002,0.0001,Total-Lipids in Very Small VLDL
3-Hydroxybutyrate,0.0003,6.8218e-05,3-Hydroxybutyrate
Leu,0.0002,3.2545e-05,Leucine
VLDL-size,0.0002,3.0174e-05,Average Diameter for VLDL Particles
S-HDL-PL%,0.0002,2.6636e-05,Phospholipids to Total-Lipids in Small HDL percentage
