Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
L-LDL-C%,0.0620,0.1688,Cholesterol to Total-Lipids in Large LDL percentage
Albumin,0.1408,0.1173,Albumin
Creatinine,0.1038,0.0803,Creatinine
IDL-TG%,0.0292,0.0617,Triglycerides to Total-Lipids in IDL percentage
GlycA,0.0768,0.0526,Glycoprotein Acetyls
IDL-CE%,0.0400,0.0513,Cholesteryl Esters to Total-Lipids in IDL percentage
PUFA,0.0623,0.0509,Polyunsaturated Fatty Acids
XS-VLDL-PL%,0.0357,0.0470,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-HDL-PL%,0.0480,0.0433,Phospholipids to Total-Lipids in Large HDL percentage
L-HDL-P,0.0363,0.0422,Concentration of Large HDL Particles
LA%,0.0457,0.0398,Linoleic Acid to Total-Fatty Acids percentage
Glu-lactate,0.0388,0.0356,Glucose-lactate
IDL-FC%,0.0447,0.0301,Free Cholesterol to Total-Lipids in IDL percentage
LA,0.0253,0.0249,Linoleic Acid
DHA,0.0330,0.0240,Docosahexaenoic Acid
MUFA%,0.0297,0.0232,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-FC%,0.0170,0.0146,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Unsaturation,0.0110,0.0112,Degree of Unsaturation
Glu,0.0095,0.0097,Glucose
Gly,0.0188,0.0095,Glycine
Citrate,0.0120,0.0091,Citrate
3-Hydroxybutyrate,0.0107,0.0071,3-Hydroxybutyrate
PUFA/MUFA,0.0087,0.0071,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Omega-6,0.0057,0.0040,Omega-6 Fatty Acids
His,0.0047,0.0035,Histidine
S-VLDL-CE%,0.0055,0.0033,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
Pyruvate,0.0047,0.0029,Pyruvate
XS-VLDL-FC%,0.0042,0.0028,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
L-VLDL-FC%,0.0047,0.0025,Free Cholesterol to Total-Lipids in Large VLDL percentage
Acetone,0.0032,0.0025,Acetone
Leu,0.0032,0.0022,Leucine
Tyr,0.0038,0.0022,Tyrosine
PUFA%,0.0020,0.0018,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Gln,0.0017,0.0017,Glutamine
Lactate,0.0045,0.0017,Lactate
Ile,0.0012,0.0013,Isoleucine
LDL-size,0.0022,0.0013,Average Diameter for LDL Particles
Sc-ala,0.0022,0.0011,Spectrometer-corrected alanine
Val,0.0020,0.0010,Valine
Phe,0.0022,0.0009,Phenylalanine
Ala,0.0012,0.0009,Alanine
Omega-6/Omega-3,0.0008,0.0006,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Acetate,0.0007,0.0004,Acetate
Total-BCAA,0.0002,7.5616e-05,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
