Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
GlycA,0.0653,0.0625,Glycoprotein Acetyls
Creatinine,0.0523,0.0525,Creatinine
Tyr,0.0628,0.0479,Tyrosine
XXL-VLDL-PL%,0.0555,0.0472,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Acetoacetate,0.0468,0.0440,Acetoacetate
Gly,0.0387,0.0425,Glycine
Leu,0.0355,0.0363,Leucine
Citrate,0.0350,0.0354,Citrate
Glu,0.0402,0.0331,Glucose
DHA,0.0387,0.0320,Docosahexaenoic Acid
Omega-6/Omega-3,0.0242,0.0297,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
LDL-size,0.0228,0.0276,Average Diameter for LDL Particles
Lactate,0.0285,0.0271,Lactate
PUFA%,0.0225,0.0261,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
IDL-PL%,0.0337,0.0259,Phospholipids to Total-Lipids in IDL percentage
Omega-3%,0.0210,0.0250,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Sc-ala,0.0193,0.0214,Spectrometer-corrected alanine
XL-HDL-C%,0.0170,0.0206,Cholesterol to Total-Lipids in Very Large HDL percentage
Ala,0.0283,0.0198,Alanine
M-LDL-C%,0.0235,0.0193,Cholesterol to Total-Lipids in Medium LDL percentage
His,0.0230,0.0186,Histidine
Albumin,0.0173,0.0150,Albumin
Gln,0.0137,0.0142,Glutamine
Phe,0.0053,0.0142,Phenylalanine
XS-VLDL-PL%,0.0113,0.0117,Phospholipids to Total-Lipids in Very Small VLDL percentage
XXL-VLDL-C%,0.0132,0.0117,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-HDL-PL%,0.0078,0.0115,Phospholipids to Total-Lipids in Large HDL percentage
Glu-lactate,0.0158,0.0115,Glucose-lactate
XXL-VLDL-TG%,0.0095,0.0104,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
LA%,0.0078,0.0100,Linoleic Acid to Total-Fatty Acids percentage
XL-HDL-CE%,0.0120,0.0091,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Ile,0.0033,0.0084,Isoleucine
Acetate,0.0052,0.0080,Acetate
IDL-FC%,0.0045,0.0079,Free Cholesterol to Total-Lipids in IDL percentage
S-LDL-C%,0.0098,0.0077,Cholesterol to Total-Lipids in Small LDL percentage
3-Hydroxybutyrate,0.0045,0.0076,3-Hydroxybutyrate
SFA%,0.0040,0.0075,Saturated Fatty Acids to Total-Fatty Acids percentage
Omega-6%,0.0095,0.0074,Omega-6 Fatty Acids to Total-Fatty Acids percentage
Acetone,0.0068,0.0073,Acetone
Unsaturation,0.0078,0.0070,Degree of Unsaturation
L-LDL-CE%,0.0060,0.0069,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Pyruvate,0.0073,0.0067,Pyruvate
M-LDL-CE%,0.0030,0.0067,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
DHA%,0.0048,0.0062,Docosahexaenoic Acid to Total-Fatty Acids percentage
XXL-VLDL-FC%,0.0047,0.0061,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-TG,0.0043,0.0060,Triglycerides in Chylomicrons and Extremely Large VLDL
XL-HDL-FC%,0.0027,0.0055,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XL-HDL-TG,0.0047,0.0053,Triglycerides in Very Large HDL
M-HDL-C%,0.0017,0.0052,Cholesterol to Total-Lipids in Medium HDL percentage
L-LDL-PL%,0.0043,0.0048,Phospholipids to Total-Lipids in Large LDL percentage
IDL-CE%,0.0042,0.0043,Cholesteryl Esters to Total-Lipids in IDL percentage
VLDL-size,0.0058,0.0041,Average Diameter for VLDL Particles
XS-VLDL-FC%,0.0008,0.0040,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Val,0.0040,0.0039,Valine
M-HDL-PL%,0.0018,0.0038,Phospholipids to Total-Lipids in Medium HDL percentage
L-LDL-FC%,0.0030,0.0037,Free Cholesterol to Total-Lipids in Large LDL percentage
Omega-3,0.0022,0.0036,Omega-3 Fatty Acids
L-VLDL-PL%,0.0010,0.0036,Phospholipids to Total-Lipids in Large VLDL percentage
S-LDL-FC%,0.0037,0.0035,Free Cholesterol to Total-Lipids in Small LDL percentage
S-LDL-FC,0.0067,0.0034,Free Cholesterol in Small LDL
XXL-VLDL-CE%,0.0027,0.0028,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-PL%,0.0022,0.0024,Phospholipids to Total-Lipids in Very Large HDL percentage
L-VLDL-TG%,0.0032,0.0024,Triglycerides to Total-Lipids in Large VLDL percentage
S-HDL-C%,0.0023,0.0022,Cholesterol to Total-Lipids in Small HDL percentage
S-HDL-FC%,0.0017,0.0020,Free Cholesterol to Total-Lipids in Small HDL percentage
XS-VLDL-C%,0.0012,0.0018,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,0.0025,0.0018,Triglycerides to Total-Lipids in Medium LDL percentage
TG/PG,0.0012,0.0016,Triglycerides to Phosphoglycerides ratio
S-HDL-CE%,0.0010,0.0013,Cholesteryl Esters to Total-Lipids in Small HDL percentage
Total-BCAA,0.0012,0.0009,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
L-LDL-C%,0.0003,0.0009,Cholesterol to Total-Lipids in Large LDL percentage
