Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
GlycA,0.2892,0.2662,Glycoprotein Acetyls
Albumin,0.2955,0.2490,Albumin
LA%,0.1013,0.1597,Linoleic Acid to Total-Fatty Acids percentage
L-LDL-C%,0.0538,0.1128,Cholesterol to Total-Lipids in Large LDL percentage
PUFA/MUFA,0.0240,0.0467,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Omega-3%,0.0503,0.0393,Omega-3 Fatty Acids to Total-Fatty Acids percentage
LA,0.0322,0.0347,Linoleic Acid
PUFA%,0.0155,0.0154,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
PUFA,0.0120,0.0110,Polyunsaturated Fatty Acids
ApoB/ApoA1,0.0192,0.0094,Apolipoprotein B to Apolipoprotein A1 ratio
Omega-3,0.0158,0.0093,Omega-3 Fatty Acids
Val,0.0173,0.0083,Valine
L-HDL-PL%,0.0133,0.0053,Phospholipids to Total-Lipids in Large HDL percentage
S-LDL-CE%,0.0098,0.0049,Cholesteryl Esters to Total-Lipids in Small LDL percentage
L-LDL-TG%,0.0022,0.0039,Triglycerides to Total-Lipids in Large LDL percentage
3-Hydroxybutyrate,0.0082,0.0039,3-Hydroxybutyrate
S-LDL-C%,0.0047,0.0028,Cholesterol to Total-Lipids in Small LDL percentage
Acetate,0.0050,0.0026,Acetate
Non-HDL-C,0.0032,0.0022,Total-Cholesterol Minus HDL-C
M-VLDL-CE,0.0032,0.0020,Cholesteryl Esters in Medium VLDL
S-LDL-PL%,0.0028,0.0017,Phospholipids to Total-Lipids in Small LDL percentage
DHA%,0.0030,0.0015,Docosahexaenoic Acid to Total-Fatty Acids percentage
Omega-6/Omega-3,0.0025,0.0013,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
L-VLDL-FC,0.0018,0.0012,Free Cholesterol in Large VLDL
L-LDL-CE%,0.0030,0.0011,Cholesteryl Esters to Total-Lipids in Large LDL percentage
M-HDL-PL,0.0025,0.0010,Phospholipids in Medium HDL
Sc-ala,0.0017,0.0008,Spectrometer-corrected alanine
Acetoacetate,0.0018,0.0007,Acetoacetate
M-HDL-L,0.0017,0.0006,Total-Lipids in Medium HDL
XXL-VLDL-PL%,0.0010,0.0003,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Leu,0.0007,0.0003,Leucine
Total-BCAA,0.0005,0.0002,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Citrate,0.0008,0.0002,Citrate
Tyr,0.0003,8.8725e-05,Tyrosine
Ala,0.0002,7.1345e-05,Alanine
