Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Unsaturation,0.2210,0.4672,Degree of Unsaturation
GlycA,0.2372,0.1525,Glycoprotein Acetyls
DHA%,0.0318,0.0515,Docosahexaenoic Acid to Total-Fatty Acids percentage
MUFA%,0.0508,0.0476,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Sc-ala,0.0682,0.0444,Spectrometer-corrected alanine
S-LDL-PL%,0.0652,0.0395,Phospholipids to Total-Lipids in Small LDL percentage
Val,0.0538,0.0385,Valine
Citrate,0.0635,0.0311,Citrate
Omega-3%,0.0340,0.0299,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Acetate,0.0320,0.0198,Acetate
XS-VLDL-PL%,0.0275,0.0192,Phospholipids to Total-Lipids in Very Small VLDL percentage
LA%,0.0225,0.0108,Linoleic Acid to Total-Fatty Acids percentage
L-LDL-TG%,0.0217,0.0107,Triglycerides to Total-Lipids in Large LDL percentage
3-Hydroxybutyrate,0.0145,0.0077,3-Hydroxybutyrate
DHA,0.0058,0.0043,Docosahexaenoic Acid
PUFA%,0.0073,0.0034,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Glu,0.0050,0.0029,Glucose
L-VLDL-CE%,0.0038,0.0021,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
LDL-size,0.0035,0.0020,Average Diameter for LDL Particles
Gln,0.0047,0.0017,Glutamine
S-HDL-PL,0.0020,0.0016,Phospholipids in Small HDL
PUFA/MUFA,0.0047,0.0016,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-HDL-PL,0.0032,0.0016,Phospholipids in Medium HDL
VLDL-size,0.0030,0.0013,Average Diameter for VLDL Particles
Omega-3,0.0018,0.0011,Omega-3 Fatty Acids
XL-VLDL-FC%,0.0017,0.0009,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
ApoB/ApoA1,0.0023,0.0009,Apolipoprotein B to Apolipoprotein A1 ratio
L-VLDL-TG%,0.0013,0.0008,Triglycerides to Total-Lipids in Large VLDL percentage
L-VLDL-C%,0.0012,0.0008,Cholesterol to Total-Lipids in Large VLDL percentage
S-LDL-CE%,0.0015,0.0007,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Tyr,0.0008,0.0005,Tyrosine
Lactate,0.0012,0.0004,Lactate
XXL-VLDL-FC%,0.0007,0.0004,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-L,0.0003,0.0002,Total-Lipids in Medium HDL
Gly,0.0003,0.0001,Glycine
Ala,0.0002,6.5523e-05,Alanine
