Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Glu-lactate,0.1035,0.1839,Glucose-lactate
Glu,0.1037,0.1220,Glucose
Creatinine,0.0382,0.0460,Creatinine
XS-VLDL-PL%,0.0408,0.0423,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-CE%,0.0570,0.0358,Cholesteryl Esters to Total-Lipids in IDL percentage
Acetone,0.0277,0.0355,Acetone
Tyr,0.0098,0.0326,Tyrosine
XL-HDL-C,0.0370,0.0325,Cholesterol in Very Large HDL
Albumin,0.0428,0.0286,Albumin
XS-VLDL-CE%,0.0442,0.0252,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Gln,0.0358,0.0249,Glutamine
L-HDL-TG,0.0328,0.0248,Triglycerides in Large HDL
Acetoacetate,0.0108,0.0234,Acetoacetate
DHA,0.0198,0.0176,Docosahexaenoic Acid
Sc-ala,0.0245,0.0170,Spectrometer-corrected alanine
Omega-6/Omega-3,0.0097,0.0141,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Omega-3,0.0118,0.0139,Omega-3 Fatty Acids
Unsaturation,0.0173,0.0132,Degree of Unsaturation
S-VLDL-FC%,0.0205,0.0124,Free Cholesterol to Total-Lipids in Small VLDL percentage
IDL-PL%,0.0120,0.0121,Phospholipids to Total-Lipids in IDL percentage
Ala,0.0130,0.0114,Alanine
XL-HDL-CE,0.0148,0.0107,Cholesteryl Esters in Very Large HDL
3-Hydroxybutyrate,0.0063,0.0102,3-Hydroxybutyrate
L-HDL-FC%,0.0130,0.0099,Free Cholesterol to Total-Lipids in Large HDL percentage
Val,0.0095,0.0099,Valine
GlycA,0.0130,0.0093,Glycoprotein Acetyls
His,0.0150,0.0090,Histidine
Omega-3%,0.0083,0.0089,Omega-3 Fatty Acids to Total-Fatty Acids percentage
XL-HDL-FC,0.0133,0.0085,Free Cholesterol in Very Large HDL
Gly,0.0145,0.0085,Glycine
LDL-size,0.0073,0.0072,Average Diameter for LDL Particles
Citrate,0.0048,0.0071,Citrate
Phe,0.0077,0.0068,Phenylalanine
LA%,0.0090,0.0067,Linoleic Acid to Total-Fatty Acids percentage
XL-HDL-FC%,0.0097,0.0060,Free Cholesterol to Total-Lipids in Very Large HDL percentage
M-LDL-TG%,0.0098,0.0060,Triglycerides to Total-Lipids in Medium LDL percentage
PUFA,0.0082,0.0059,Polyunsaturated Fatty Acids
XXL-VLDL-PL%,0.0068,0.0057,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-TG%,0.0083,0.0057,Triglycerides to Total-Lipids in IDL percentage
M-HDL-TG%,0.0035,0.0057,Triglycerides to Total-Lipids in Medium HDL percentage
Ile,0.0073,0.0055,Isoleucine
M-HDL-FC,0.0072,0.0054,Free Cholesterol in Medium HDL
XL-HDL-C%,0.0057,0.0047,Cholesterol to Total-Lipids in Very Large HDL percentage
HDL-FC,0.0033,0.0047,Free Cholesterol in HDL
S-HDL-FC%,0.0017,0.0047,Free Cholesterol to Total-Lipids in Small HDL percentage
L-HDL-CE,0.0082,0.0041,Cholesteryl Esters in Large HDL
XL-HDL-CE%,0.0047,0.0040,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
IDL-FC%,0.0032,0.0036,Free Cholesterol to Total-Lipids in IDL percentage
XS-VLDL-C%,0.0047,0.0033,Cholesterol to Total-Lipids in Very Small VLDL percentage
IDL-FC,0.0042,0.0030,Free Cholesterol in IDL
XL-VLDL-FC%,0.0062,0.0029,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
Acetate,0.0057,0.0028,Acetate
IDL-PL,0.0038,0.0028,Phospholipids in IDL
S-VLDL-C%,0.0027,0.0027,Cholesterol to Total-Lipids in Small VLDL percentage
DHA%,0.0018,0.0026,Docosahexaenoic Acid to Total-Fatty Acids percentage
Lactate,0.0038,0.0025,Lactate
S-HDL-C%,0.0042,0.0025,Cholesterol to Total-Lipids in Small HDL percentage
M-LDL-PL%,0.0013,0.0023,Phospholipids to Total-Lipids in Medium LDL percentage
Pyruvate,0.0032,0.0023,Pyruvate
L-HDL-CE%,0.0023,0.0018,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-LDL-C%,0.0018,0.0018,Cholesterol to Total-Lipids in Medium LDL percentage
Leu,0.0018,0.0015,Leucine
IDL-C%,0.0017,0.0014,Cholesterol to Total-Lipids in IDL percentage
XXL-VLDL-FC,0.0017,0.0014,Free Cholesterol in Chylomicrons and Extremely Large VLDL
MUFA%,0.0008,0.0012,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-PL%,0.0012,0.0011,Phospholipids to Total-Lipids in Very Large VLDL percentage
XL-HDL-P,0.0010,0.0010,Concentration of Very Large HDL Particles
Total-BCAA,0.0015,0.0009,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XS-VLDL-TG%,0.0018,0.0009,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-LDL-CE%,0.0022,0.0008,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Total-P,0.0012,0.0007,Total-Concentration of Lipoprotein Particles
XL-VLDL-P,0.0003,0.0005,Concentration of Very Large VLDL Particles
HDL-P,0.0010,0.0005,Concentration of HDL Particles
L-LDL-CE%,0.0002,0.0005,Cholesteryl Esters to Total-Lipids in Large LDL percentage
PUFA%,0.0003,0.0004,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-CE%,0.0002,0.0003,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
SFA%,0.0003,0.0002,Saturated Fatty Acids to Total-Fatty Acids percentage
