Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
K11_OESSTODUO,43,0.297 [0.260-0.33],4.873e-51,***,"Diseases of oesophagus, stomach and duodenum",Digestive
N14_RENALTUB,449,0.290 [0.279-0.30],1.000e-315,***,Renal tubulo-interstitial diseases,Genitourinary
K11_OTHDISDIG,25,0.231 [0.206-0.26],1.802e-68,***,Other diseases of the digestive system,Digestive
K11_FUNCDYSP,169,0.184 [0.176-0.19],1.000e-315,***,Functional dyspepsia,Digestive
E4_LIPOPROTNAS,242,0.154 [0.124-0.18],2.046e-19,***,"Disorder of lipoprotein metabolism, unspecified",Endocrine and metabolic
M13_SOFTTISSUE,1904,0.151 [0.136-0.17],2.003e-77,***,Soft tissue disorders,Musculoskeletal
E4_HYPERLIPNAS,1251,0.117 [0.103-0.13],3.368e-52,***,"Hyperlipidaemia, other/unspecified",Endocrine and metabolic
JOINTPAIN,1595,0.115 [0.106-0.12],1.293e-122,***,Pain in joint,Musculoskeletal
K11_OTHENTERCOL,751,0.112 [0.105-0.12],6.139e-212,***,Other noninfective gastroenteritis and colitis,Digestive
D3_AGRANULOCYTOSIS,347,0.105 [0.102-0.11],1.000e-315,***,Agranulocytosis,Blood and immune
M13_MUSCLE,168,0.088 [0.083-0.09],4.663e-298,***,Disorders of muscles,Musculoskeletal
CD2_BENIGN_PAROTID,171,0.088 [0.081-0.09],1.086e-133,***,Benign neoplasm: Parotid gland,Neoplasms
M13_ENTESOPATHYOTH,48,0.082 [0.063-0.10],1.837e-11,***,Other enthesopathies,Musculoskeletal
N14_FEMALEGENNONINF,279,0.082 [0.066-0.10],1.197e-18,***,Noninflammatory disorders of female genital tract,Genitourinary
FALLS,542,0.080 [0.068-0.09],6.222e-32,***,Falls/tendency to fall,Nervous
G6_NERPLEX,2804,0.078 [0.071-0.09],8.730e-81,***,"Nerve, nerve root and plexus disorders",Nervous
E4_FH,518,0.077 [0.059-0.10],2.499e-11,***,Familial hypercholesterolemia,Endocrine and metabolic
O15_PRETERM,17,0.075 [0.050-0.10],7.363e-04,***,Preterm labour and delivery,Pregnancy
O15_ABORT_MEDICAL,68,0.074 [0.048-0.10],0.003,**,Medical abortion,Pregnancy
I9_ATHSCLE,3616,0.069 [0.066-0.07],1.000e-315,***,"Atherosclerosis, excluding cerebral and coronary sclerosis",Circulatory
H7_STENOLACRI,62,0.069 [0.060-0.08],2.394e-52,***,Stenosis and insufficiency of lacrimal passages,Eye and adnexa
