Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-CE%,176,1.292 [1.200-1.390],1.751e-06,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-C%,176,1.286 [1.194-1.385],7.479e-06,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-FC%,397,1.245 [1.174-1.322],1.078e-07,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,486,1.240 [1.174-1.310],4.340e-09,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-CE%,485,1.233 [1.168-1.302],1.354e-08,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
L-VLDL-CE%,492,1.222 [1.164-1.283],1.234e-10,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
XS-VLDL-FC%,460,1.215 [1.148-1.286],3.853e-06,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
L-VLDL-C%,395,1.206 [1.149-1.266],7.010e-09,***,Cholesterol to Total-Lipids in Large VLDL percentage
S-LDL-PL%,510,1.201 [1.122-1.285],0.025,*,Phospholipids to Total-Lipids in Small LDL percentage
L-LDL-PL%,382,1.191 [1.117-1.270],0.022,*,Phospholipids to Total-Lipids in Large LDL percentage
PUFA%,371,1.185 [1.118-1.256],0.003,**,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
S-VLDL-CE%,509,1.178 [1.128-1.230],3.980e-08,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
M-VLDL-FC%,574,1.166 [1.115-1.220],5.107e-06,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
L-LDL-FC%,687,1.164 [1.105-1.227],0.003,**,Free Cholesterol to Total-Lipids in Large LDL percentage
S-LDL-FC%,578,1.161 [1.104-1.222],0.001,**,Free Cholesterol to Total-Lipids in Small LDL percentage
S-VLDL-C%,527,1.152 [1.102-1.205],1.087e-04,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-C%,604,1.151 [1.099-1.204],3.952e-04,***,Cholesterol to Total-Lipids in Medium VLDL percentage
L-VLDL-FC%,331,1.140 [1.087-1.197],0.024,*,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-VLDL-PL%,523,1.134 [1.085-1.186],0.008,**,Phospholipids to Total-Lipids in Medium VLDL percentage
PUFA/MUFA,484,1.134 [1.083-1.187],0.018,*,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-VLDL-CE%,597,1.132 [1.083-1.183],0.011,*,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XS-VLDL-C%,642,1.119 [1.075-1.165],0.011,*,Cholesterol to Total-Lipids in Very Small VLDL percentage
Omega-3%,215,1.066 [1.044-1.089],3.455e-04,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Omega-6/Omega-3,257,0.940 [0.919-0.961],0.020,*,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
L-VLDL-TG%,369,0.889 [0.852-0.928],0.016,*,Triglycerides to Total-Lipids in Large VLDL percentage
S-LDL-TG%,594,0.875 [0.835-0.917],0.005,**,Triglycerides to Total-Lipids in Small LDL percentage
S-LDL-TG,690,0.874 [0.832-0.919],0.028,*,Triglycerides in Small LDL
XXL-VLDL-L,514,0.873 [0.832-0.916],0.007,**,Total-Lipids in Chylomicrons and Extremely Large VLDL
XS-VLDL-TG%,661,0.872 [0.834-0.912],4.072e-04,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,564,0.871 [0.833-0.910],2.664e-04,***,Triglycerides to Total-Lipids in Small VLDL percentage
MUFA%,525,0.871 [0.829-0.915],0.007,**,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-VLDL-TG%,609,0.866 [0.828-0.906],9.285e-05,***,Triglycerides to Total-Lipids in Medium VLDL percentage
M-HDL-L,576,0.849 [0.801-0.901],0.012,*,Total-Lipids in Medium HDL
XXL-VLDL-TG,472,0.844 [0.804-0.886],2.389e-06,***,Triglycerides in Chylomicrons and Extremely Large VLDL
M-HDL-PL,545,0.840 [0.792-0.892],0.002,**,Phospholipids in Medium HDL
LA,635,0.837 [0.788-0.888],0.001,**,Linoleic Acid
HDL-P,547,0.837 [0.784-0.892],0.014,*,Concentration of HDL Particles
Total-P,531,0.829 [0.775-0.887],0.016,*,Total-Concentration of Lipoprotein Particles
XXL-VLDL-TG%,153,0.822 [0.769-0.879],0.002,**,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
MUFA,654,0.820 [0.774-0.869],4.121e-06,***,Monounsaturated Fatty Acids
S-HDL-FC,483,0.816 [0.759-0.878],0.010,*,Free Cholesterol in Small HDL
S-HDL-L,442,0.812 [0.754-0.876],0.013,*,Total-Lipids in Small HDL
S-HDL-PL,489,0.800 [0.744-0.860],4.845e-04,***,Phospholipids in Small HDL
XL-VLDL-TG%,444,0.793 [0.749-0.839],2.237e-10,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
GlycA,385,0.771 [0.699-0.850],0.041,*,Glycoprotein Acetyls
