Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
PUFA%,371,1.326 [1.216-1.445],4.156e-05,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-CE%,485,1.298 [1.198-1.405],3.521e-05,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
Omega-6%,366,1.288 [1.182-1.404],0.002,**,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-C%,486,1.279 [1.181-1.385],3.601e-04,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
PUFA/MUFA,484,1.225 [1.146-1.309],5.473e-04,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
L-LDL-FC%,687,1.217 [1.143-1.296],1.987e-04,***,Free Cholesterol to Total-Lipids in Large LDL percentage
S-LDL-PL%,510,1.211 [1.132-1.295],0.006,**,Phospholipids to Total-Lipids in Small LDL percentage
M-LDL-FC%,651,1.207 [1.135-1.283],3.983e-04,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
XS-VLDL-C%,642,1.196 [1.123-1.273],0.005,**,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,644,1.187 [1.114-1.264],0.027,*,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
VLDL-P,640,0.855 [0.807-0.907],0.043,*,Concentration of VLDL Particles
S-HDL-TG%,677,0.852 [0.805-0.902],0.007,**,Triglycerides to Total-Lipids in Small HDL percentage
M-LDL-TG,658,0.848 [0.802-0.895],8.404e-04,***,Triglycerides in Medium LDL
S-VLDL-P,669,0.846 [0.799-0.896],0.003,**,Concentration of Small VLDL Particles
S-VLDL-L,665,0.843 [0.795-0.893],0.002,**,Total-Lipids in Small VLDL
S-LDL-CE%,545,0.836 [0.783-0.891],0.012,*,Cholesteryl Esters to Total-Lipids in Small LDL percentage
XL-HDL-TG%,642,0.834 [0.783-0.887],0.002,**,Triglycerides to Total-Lipids in Very Large HDL percentage
LA,635,0.832 [0.782-0.886],0.002,**,Linoleic Acid
XS-VLDL-TG%,661,0.832 [0.782-0.885],0.002,**,Triglycerides to Total-Lipids in Very Small VLDL percentage
XL-VLDL-CE,617,0.831 [0.779-0.886],0.003,**,Cholesteryl Esters in Very Large VLDL
L-VLDL-CE,614,0.829 [0.778-0.883],0.002,**,Cholesteryl Esters in Large VLDL
VLDL-FC,630,0.829 [0.779-0.882],6.948e-04,***,Free Cholesterol in VLDL
MUFA%,525,0.826 [0.779-0.876],4.938e-05,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-VLDL-C,622,0.826 [0.775-0.881],0.001,**,Cholesterol in Large VLDL
M-VLDL-L,589,0.825 [0.774-0.879],8.837e-04,***,Total-Lipids in Medium VLDL
VLDL-size,604,0.820 [0.770-0.873],1.534e-04,***,Average Diameter for VLDL Particles
S-LDL-TG,690,0.819 [0.773-0.868],3.782e-06,***,Triglycerides in Small LDL
VLDL-PL,674,0.818 [0.770-0.869],1.899e-05,***,Phospholipids in VLDL
MUFA,654,0.818 [0.769-0.870],3.845e-05,***,Monounsaturated Fatty Acids
S-HDL-TG,681,0.817 [0.772-0.866],1.311e-06,***,Triglycerides in Small HDL
XL-VLDL-C,639,0.815 [0.764-0.869],8.379e-05,***,Cholesterol in Very Large VLDL
