Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
HDL-P,547,1.155 [1.095-1.220],0.040,*,Concentration of HDL Particles
M-HDL-C,607,1.144 [1.090-1.201],0.011,*,Cholesterol in Medium HDL
M-HDL-CE,607,1.143 [1.091-1.199],0.007,**,Cholesteryl Esters in Medium HDL
M-HDL-PL,545,1.137 [1.081-1.196],0.154,,Phospholipids in Medium HDL
M-HDL-P,598,1.134 [1.082-1.190],0.050,,Concentration of Medium HDL Particles
Total-TG,641,0.996 [0.952-1.042],1.000,,Total-Triglycerides
XS-VLDL-C,604,0.984 [0.949-1.021],1.000,,Cholesterol in Very Small VLDL
M-LDL-PL,492,0.962 [0.921-1.004],1.000,,Phospholipids in Medium LDL
L-LDL-PL,492,0.961 [0.919-1.005],1.000,,Phospholipids in Large LDL
3-Hydroxybutyrate,68,0.800 [0.682-0.938],1.000,,3-Hydroxybutyrate
