Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-VLDL-TG,613,1.141 [1.087-1.199],0.031,*,Triglycerides in Medium VLDL
VLDL-L,623,1.124 [1.070-1.180],0.667,,Total-Lipids in VLDL
PUFA,699,1.117 [1.067-1.171],0.647,,Polyunsaturated Fatty Acids
Omega-3,420,1.105 [1.065-1.146],0.033,*,Omega-3 Fatty Acids
Omega-3%,215,1.092 [1.057-1.128],0.032,*,Omega-3 Fatty Acids to Total-Fatty Acids percentage
HDL-size,600,0.992 [0.952-1.034],1.000,,Average Diameter for HDL Particles
S-HDL-CE%,367,0.973 [0.931-1.017],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
Omega-6/Omega-3,257,0.909 [0.878-0.940],0.011,*,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Omega-6%,366,0.827 [0.771-0.887],0.026,*,Omega-6 Fatty Acids to Total-Fatty Acids percentage
LA%,226,0.807 [0.761-0.857],4.623e-07,***,Linoleic Acid to Total-Fatty Acids percentage
