Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-VLDL-C%,486,1.124 [1.019-1.239],1.000,,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-HDL-C%,436,1.010 [0.933-1.093],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
XXL-VLDL-TG%,153,1.009 [0.898-1.134],1.000,,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Tyr,120,1.005 [0.835-1.210],1.000,,Tyrosine
S-HDL-L,442,1.001 [0.907-1.105],1.000,,Total-Lipids in Small HDL
S-HDL-TG,681,0.933 [0.869-1.001],1.000,,Triglycerides in Small HDL
VLDL-L,623,0.890 [0.822-0.965],1.000,,Total-Lipids in VLDL
Total-FC,546,0.850 [0.785-0.921],1.000,,Total-Free Cholesterol
S-LDL-FC,410,0.834 [0.772-0.901],0.929,,Free Cholesterol in Small LDL
L-LDL-FC,474,0.827 [0.763-0.895],0.721,,Free Cholesterol in Large LDL
