Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-LDL-FC%,578,1.083 [1.031-1.137],1.000,,Free Cholesterol to Total-Lipids in Small LDL percentage
L-LDL-FC%,687,1.062 [1.006-1.121],1.000,,Free Cholesterol to Total-Lipids in Large LDL percentage
LDL-size,178,1.057 [0.972-1.150],1.000,,Average Diameter for LDL Particles
S-HDL-CE,360,1.019 [0.962-1.080],1.000,,Cholesteryl Esters in Small HDL
XS-VLDL-C%,642,1.001 [0.963-1.040],1.000,,Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-HDL-CE,664,0.956 [0.923-0.990],1.000,,Cholesteryl Esters in Very Large HDL
PUFA,699,0.878 [0.833-0.926],0.351,,Polyunsaturated Fatty Acids
Omega-6,651,0.866 [0.816-0.919],0.538,,Omega-6 Fatty Acids
Total-FA,654,0.861 [0.813-0.912],0.064,,Total-Fatty Acids
MUFA,654,0.852 [0.804-0.903],0.016,*,Monounsaturated Fatty Acids
