Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-VLDL-C%,486,1.341 [0.994-1.808],1.000,,Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-CE%,485,1.332 [0.988-1.796],1.000,,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XS-VLDL-PL%,375,1.256 [0.919-1.718],1.000,,Phospholipids to Total-Lipids in Very Small VLDL percentage
Omega-6%,366,1.149 [0.833-1.586],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
L-VLDL-CE,614,1.097 [0.870-1.382],1.000,,Cholesteryl Esters in Large VLDL
XS-VLDL-FC,612,0.990 [0.817-1.200],1.000,,Free Cholesterol in Very Small VLDL
M-HDL-CE,607,0.597 [0.465-0.767],1.000,,Cholesteryl Esters in Medium HDL
S-HDL-FC,483,0.582 [0.441-0.768],1.000,,Free Cholesterol in Small HDL
HDL-P,547,0.495 [0.378-0.647],0.070,,Concentration of HDL Particles
Total-P,531,0.491 [0.373-0.647],0.097,,Total-Concentration of Lipoprotein Particles
