Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-LDL-FC%,687,1.102 [1.061-1.146],0.189,,Free Cholesterol to Total-Lipids in Large LDL percentage
S-VLDL-CE%,509,1.096 [1.059-1.135],0.053,,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
S-VLDL-C%,527,1.094 [1.058-1.132],0.044,*,Cholesterol to Total-Lipids in Small VLDL percentage
L-VLDL-C%,395,1.090 [1.052-1.129],0.422,,Cholesterol to Total-Lipids in Large VLDL percentage
XS-VLDL-CE,620,1.021 [0.987-1.055],1.000,,Cholesteryl Esters in Very Small VLDL
PUFA,699,0.900 [0.867-0.934],0.007,**,Polyunsaturated Fatty Acids
MUFA,654,0.894 [0.858-0.932],0.038,*,Monounsaturated Fatty Acids
Omega-6,651,0.894 [0.857-0.932],0.026,*,Omega-6 Fatty Acids
M-HDL-PL,545,0.887 [0.848-0.927],0.028,*,Phospholipids in Medium HDL
Total-FA,654,0.880 [0.845-0.917],3.426e-04,***,Total-Fatty Acids
Total-P,531,0.869 [0.827-0.912],0.004,**,Total-Concentration of Lipoprotein Particles
L-LDL-CE%,344,0.863 [0.818-0.910],0.011,*,Cholesteryl Esters to Total-Lipids in Large LDL percentage
S-HDL-C,410,0.840 [0.795-0.888],1.512e-04,***,Cholesterol in Small HDL
S-HDL-P,416,0.839 [0.795-0.886],5.877e-05,***,Concentration of Small HDL Particles
S-HDL-FC,483,0.835 [0.793-0.880],2.186e-06,***,Free Cholesterol in Small HDL
S-HDL-PL,489,0.823 [0.783-0.866],1.119e-08,***,Phospholipids in Small HDL
S-HDL-L,442,0.823 [0.782-0.866],2.555e-08,***,Total-Lipids in Small HDL
GlycA,385,0.772 [0.725-0.823],2.145e-10,***,Glycoprotein Acetyls
