Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-LDL-CE%,344,1.379 [1.228-1.548],0.014,*,Cholesteryl Esters to Total-Lipids in Large LDL percentage
XS-VLDL-PL%,375,1.150 [1.025-1.291],1.000,,Phospholipids to Total-Lipids in Very Small VLDL percentage
VLDL-size,604,1.116 [1.027-1.213],1.000,,Average Diameter for VLDL Particles
L-HDL-C%,622,1.056 [0.970-1.151],1.000,,Cholesterol to Total-Lipids in Large HDL percentage
S-HDL-TG%,677,1.039 [0.961-1.123],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
S-HDL-CE%,367,0.941 [0.874-1.012],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
LDL-size,178,0.848 [0.692-1.039],1.000,,Average Diameter for LDL Particles
L-LDL-PL%,382,0.813 [0.747-0.885],0.393,,Phospholipids to Total-Lipids in Large LDL percentage
XL-VLDL-CE%,485,0.805 [0.721-0.897],1.000,,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
S-VLDL-CE%,509,0.800 [0.731-0.876],0.309,,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
