Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
HDL-TG,593,1.019 [1.003-1.036],1.000,,Triglycerides in HDL
XL-HDL-TG%,642,1.011 [0.991-1.031],1.000,,Triglycerides to Total-Lipids in Very Large HDL percentage
L-VLDL-FC%,331,1.005 [0.987-1.024],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
XXL-VLDL-PL,556,1.005 [0.985-1.026],1.000,,Phospholipids in Chylomicrons and Extremely Large VLDL
Omega-3%,215,1.001 [0.990-1.012],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
L-HDL-PL,598,0.999 [0.985-1.012],1.000,,Phospholipids in Large HDL
L-LDL-C,488,0.998 [0.980-1.016],1.000,,Cholesterol in Large LDL
M-LDL-L,531,0.994 [0.977-1.013],1.000,,Total-Lipids in Medium LDL
IDL-FC%,332,0.993 [0.967-1.020],1.000,,Free Cholesterol to Total-Lipids in IDL percentage
L-LDL-FC%,687,0.981 [0.963-1.000],1.000,,Free Cholesterol to Total-Lipids in Large LDL percentage
