Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
VLDL-C,644,1.090 [0.928-1.280],1.000,,VLDL Cholesterol
S-VLDL-L,665,1.086 [0.935-1.261],1.000,,Total-Lipids in Small VLDL
L-VLDL-P,622,1.086 [0.935-1.262],1.000,,Concentration of Large VLDL Particles
XL-HDL-P,581,1.072 [0.942-1.220],1.000,,Concentration of Very Large HDL Particles
XL-HDL-CE,664,1.038 [0.907-1.187],1.000,,Cholesteryl Esters in Very Large HDL
L-HDL-L,623,0.989 [0.865-1.131],1.000,,Total-Lipids in Large HDL
XXL-VLDL-L,514,0.974 [0.827-1.148],1.000,,Total-Lipids in Chylomicrons and Extremely Large VLDL
Total-FA,654,0.847 [0.729-0.985],1.000,,Total-Fatty Acids
M-HDL-C,607,0.766 [0.654-0.898],1.000,,Cholesterol in Medium HDL
S-HDL-L,442,0.643 [0.536-0.771],0.439,,Total-Lipids in Small HDL
