Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,375,1.162 [1.101-1.226],0.013,*,Phospholipids to Total-Lipids in Very Small VLDL percentage
MUFA%,525,1.161 [1.110-1.214],1.970e-05,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-PL,556,1.143 [1.087-1.202],0.047,*,Phospholipids in Chylomicrons and Extremely Large VLDL
TG/PG,632,1.138 [1.084-1.194],0.034,*,Triglycerides to Phosphoglycerides ratio
XL-HDL-TG%,642,1.137 [1.086-1.190],0.009,**,Triglycerides to Total-Lipids in Very Large HDL percentage
VLDL-size,604,1.134 [1.085-1.186],0.007,**,Average Diameter for VLDL Particles
L-HDL-TG%,637,1.133 [1.088-1.179],2.764e-04,***,Triglycerides to Total-Lipids in Large HDL percentage
M-VLDL-TG%,609,1.133 [1.081-1.187],0.040,*,Triglycerides to Total-Lipids in Medium VLDL percentage
XS-VLDL-TG%,661,1.128 [1.079-1.180],0.033,*,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-HDL-TG%,677,1.117 [1.072-1.163],0.029,*,Triglycerides to Total-Lipids in Small HDL percentage
Omega-6/Omega-3,257,1.085 [1.057-1.115],4.773e-04,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Omega-3%,215,0.913 [0.891-0.936],6.672e-08,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
DHA,289,0.884 [0.855-0.914],1.440e-07,***,Docosahexaenoic Acid
Unsaturation,310,0.883 [0.855-0.913],2.464e-08,***,Degree of Unsaturation
S-VLDL-FC%,609,0.882 [0.842-0.924],0.025,*,Free Cholesterol to Total-Lipids in Small VLDL percentage
XS-VLDL-CE%,644,0.878 [0.840-0.918],0.002,**,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XS-VLDL-C%,642,0.875 [0.838-0.914],3.532e-04,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-C%,604,0.871 [0.831-0.914],0.004,**,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,597,0.865 [0.825-0.908],0.001,**,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
DHA%,240,0.861 [0.827-0.897],1.556e-07,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
XL-VLDL-C%,486,0.853 [0.805-0.903],0.012,*,Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-CE%,485,0.841 [0.794-0.890],4.400e-04,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
PUFA/MUFA,484,0.840 [0.803-0.879],1.442e-08,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
IDL-FC%,332,0.834 [0.781-0.890],0.011,*,Free Cholesterol to Total-Lipids in IDL percentage
PUFA%,371,0.811 [0.765-0.860],5.290e-07,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
