Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-HDL-TG%,637,1.054 [1.014-1.095],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
LDL-PL,473,1.017 [0.969-1.066],1.000,,Phospholipids in LDL
M-VLDL-L,589,1.016 [0.972-1.062],1.000,,Total-Lipids in Medium VLDL
XXL-VLDL-TG,472,1.014 [0.965-1.066],1.000,,Triglycerides in Chylomicrons and Extremely Large VLDL
Total-C,563,1.011 [0.965-1.060],1.000,,Total-Cholesterol
Omega-6,651,0.933 [0.891-0.977],1.000,,Omega-6 Fatty Acids
M-HDL-CE,607,0.892 [0.850-0.936],0.894,,Cholesteryl Esters in Medium HDL
M-HDL-L,576,0.888 [0.847-0.932],0.384,,Total-Lipids in Medium HDL
HDL-P,547,0.871 [0.827-0.918],0.055,,Concentration of HDL Particles
Total-P,531,0.866 [0.819-0.915],0.082,,Total-Concentration of Lipoprotein Particles
