Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Val,50,1.087 [0.981-1.206],1.000,,Valine
S-HDL-PL%,367,1.050 [1.018-1.082],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
Albumin,72,1.039 [0.943-1.145],1.000,,Albumin
HDL-CE,611,1.025 [0.997-1.054],1.000,,Cholesteryl Esters in HDL
L-HDL-C%,622,1.019 [0.992-1.046],1.000,,Cholesterol to Total-Lipids in Large HDL percentage
XL-VLDL-C,639,0.921 [0.893-0.950],0.045,*,Cholesterol in Very Large VLDL
ApoB/ApoA1,542,0.921 [0.896-0.946],5.535e-04,***,Apolipoprotein B to Apolipoprotein A1 ratio
M-LDL-FC,407,0.920 [0.892-0.949],0.035,*,Free Cholesterol in Medium LDL
S-LDL-PL,409,0.920 [0.895-0.945],5.298e-04,***,Phospholipids in Small LDL
LDL-P,552,0.919 [0.891-0.948],0.035,*,Concentration of LDL Particles
L-LDL-P,541,0.919 [0.891-0.948],0.021,*,Concentration of Large LDL Particles
S-LDL-L,511,0.918 [0.889-0.948],0.038,*,Total-Lipids in Small LDL
M-VLDL-C,535,0.917 [0.888-0.947],0.028,*,Cholesterol in Medium VLDL
L-VLDL-C,622,0.917 [0.888-0.946],0.016,*,Cholesterol in Large VLDL
S-VLDL-CE,626,0.917 [0.888-0.946],0.011,*,Cholesteryl Esters in Small VLDL
S-VLDL-C,618,0.915 [0.887-0.945],0.008,**,Cholesterol in Small VLDL
M-VLDL-CE,487,0.915 [0.888-0.942],0.001,**,Cholesteryl Esters in Medium VLDL
S-VLDL-FC,593,0.914 [0.885-0.944],0.012,*,Free Cholesterol in Small VLDL
S-LDL-CE,543,0.912 [0.882-0.944],0.038,*,Cholesteryl Esters in Small LDL
VLDL-P,640,0.912 [0.883-0.942],0.007,**,Concentration of VLDL Particles
XL-VLDL-CE,617,0.912 [0.883-0.941],0.003,**,Cholesteryl Esters in Very Large VLDL
VLDL-CE,621,0.911 [0.882-0.940],0.002,**,Cholesteryl Esters in VLDL
S-VLDL-P,669,0.910 [0.882-0.940],0.002,**,Concentration of Small VLDL Particles
L-VLDL-CE,614,0.910 [0.881-0.941],0.006,**,Cholesteryl Esters in Large VLDL
VLDL-PL,674,0.910 [0.881-0.940],0.003,**,Phospholipids in VLDL
M-VLDL-P,612,0.910 [0.879-0.942],0.017,*,Concentration of Medium VLDL Particles
S-VLDL-L,665,0.910 [0.881-0.940],0.004,**,Total-Lipids in Small VLDL
S-LDL-P,566,0.909 [0.882-0.938],3.174e-04,***,Concentration of Small LDL Particles
M-VLDL-FC,594,0.909 [0.879-0.940],0.008,**,Free Cholesterol in Medium VLDL
M-LDL-P,508,0.908 [0.878-0.939],0.004,**,Concentration of Medium LDL Particles
VLDL-C,644,0.908 [0.878-0.938],0.002,**,VLDL Cholesterol
M-VLDL-PL,632,0.907 [0.877-0.938],0.003,**,Phospholipids in Medium VLDL
MUFA,654,0.904 [0.873-0.937],0.005,**,Monounsaturated Fatty Acids
VLDL-FC,630,0.904 [0.874-0.935],8.360e-04,***,Free Cholesterol in VLDL
S-VLDL-PL,664,0.901 [0.872-0.931],1.116e-04,***,Phospholipids in Small VLDL
XL-VLDL-PL%,398,0.897 [0.869-0.926],6.868e-06,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
