Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
His,43,1.034 [0.863-1.238],1.000,,Histidine
S-HDL-P,416,1.016 [0.970-1.064],1.000,,Concentration of Small HDL Particles
XXL-VLDL-C,589,1.014 [0.977-1.052],1.000,,Cholesterol in Chylomicrons and Extremely Large VLDL
XL-VLDL-TG,570,1.008 [0.970-1.048],1.000,,Triglycerides in Very Large VLDL
XL-HDL-C,653,1.007 [0.978-1.037],1.000,,Cholesterol in Very Large HDL
XL-HDL-P,581,0.997 [0.970-1.024],1.000,,Concentration of Very Large HDL Particles
M-HDL-FC%,609,0.996 [0.968-1.026],1.000,,Free Cholesterol to Total-Lipids in Medium HDL percentage
XL-VLDL-P,599,0.989 [0.951-1.029],1.000,,Concentration of Very Large VLDL Particles
XS-VLDL-PL,635,0.959 [0.931-0.988],1.000,,Phospholipids in Very Small VLDL
SFA%,94,0.924 [0.847-1.007],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
