Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-HDL-CE,664,1.035 [0.988-1.084],1.000,,Cholesteryl Esters in Very Large HDL
L-HDL-PL,598,1.022 [0.974-1.072],1.000,,Phospholipids in Large HDL
S-HDL-FC%,491,1.017 [0.977-1.059],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
L-VLDL-C%,395,1.017 [0.952-1.087],1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
S-HDL-C%,436,1.007 [0.957-1.059],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
M-HDL-CE,607,0.997 [0.937-1.062],1.000,,Cholesteryl Esters in Medium HDL
XL-HDL-TG,489,0.975 [0.931-1.020],1.000,,Triglycerides in Very Large HDL
M-VLDL-TG%,609,0.972 [0.912-1.035],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
Omega-3,420,0.953 [0.912-0.997],1.000,,Omega-3 Fatty Acids
XL-VLDL-CE,617,0.940 [0.885-0.997],1.000,,Cholesteryl Esters in Very Large VLDL
