Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-LDL-PL%,510,1.134 [1.088-1.182],6.152e-04,***,Phospholipids to Total-Lipids in Small LDL percentage
S-LDL-FC%,578,1.047 [1.014-1.082],1.000,,Free Cholesterol to Total-Lipids in Small LDL percentage
Tyr,120,1.033 [0.988-1.079],1.000,,Tyrosine
His,43,1.016 [0.937-1.102],1.000,,Histidine
L-LDL-C%,403,1.008 [0.981-1.035],1.000,,Cholesterol to Total-Lipids in Large LDL percentage
ApoB/ApoA1,542,0.933 [0.912-0.955],0.001,**,Apolipoprotein B to Apolipoprotein A1 ratio
M-VLDL-CE,487,0.928 [0.902-0.954],0.032,*,Cholesteryl Esters in Medium VLDL
M-LDL-FC,407,0.927 [0.902-0.953],0.019,*,Free Cholesterol in Medium LDL
L-VLDL-FC,648,0.927 [0.901-0.953],0.023,*,Free Cholesterol in Large VLDL
L-VLDL-P,622,0.926 [0.900-0.952],0.025,*,Concentration of Large VLDL Particles
L-LDL-PL,492,0.925 [0.899-0.952],0.026,*,Phospholipids in Large LDL
XL-VLDL-C,639,0.925 [0.899-0.952],0.022,*,Cholesterol in Very Large VLDL
Clinical LDL-C,463,0.924 [0.898-0.952],0.028,*,Clinical LDL Cholesterol
L-VLDL-C,622,0.924 [0.897-0.951],0.030,*,Cholesterol in Large VLDL
LDL-L,502,0.922 [0.895-0.951],0.035,*,Total-Lipids in LDL
L-LDL-P,541,0.922 [0.897-0.947],0.001,**,Concentration of Large LDL Particles
XL-VLDL-CE,617,0.922 [0.896-0.948],0.006,**,Cholesteryl Esters in Very Large VLDL
LDL-P,552,0.921 [0.896-0.947],0.002,**,Concentration of LDL Particles
LDL-C,476,0.921 [0.894-0.950],0.026,*,LDL Cholesterol
Non-HDL-C,563,0.921 [0.894-0.948],0.006,**,Total-Cholesterol Minus HDL-C
S-VLDL-P,669,0.920 [0.893-0.948],0.009,**,Concentration of Small VLDL Particles
Remnant-C,577,0.920 [0.894-0.947],0.003,**,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
LDL-CE,506,0.920 [0.893-0.949],0.022,*,Cholesteryl Esters in LDL
ApoB,565,0.920 [0.895-0.946],0.001,**,Apolipoprotein B
