Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-VLDL-L,589,1.113 [0.996-1.243],1.000,,Total-Lipids in Medium VLDL
M-LDL-C,525,1.085 [0.966-1.219],1.000,,Cholesterol in Medium LDL
IDL-CE,553,1.081 [0.966-1.209],1.000,,Cholesteryl Esters in IDL
HDL-TG,593,1.066 [0.975-1.166],1.000,,Triglycerides in HDL
Total-TG,641,1.048 [0.940-1.167],1.000,,Total-Triglycerides
Omega-6/Omega-3,257,0.994 [0.924-1.069],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XL-VLDL-CE%,485,0.985 [0.858-1.130],1.000,,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-HDL-P,581,0.968 [0.881-1.064],1.000,,Concentration of Very Large HDL Particles
XL-HDL-PL%,441,0.933 [0.836-1.040],1.000,,Phospholipids to Total-Lipids in Very Large HDL percentage
Ile,28,0.875 [0.463-1.655],1.000,,Isoleucine
