Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-HDL-C%,306,1.024 [0.994-1.054],1.000,,Cholesterol to Total-Lipids in Very Large HDL percentage
Gly,134,1.017 [0.977-1.059],1.000,,Glycine
HDL-P,547,1.016 [0.980-1.053],1.000,,Concentration of HDL Particles
XL-HDL-FC%,547,1.011 [0.982-1.041],1.000,,Free Cholesterol to Total-Lipids in Very Large HDL percentage
S-VLDL-FC%,609,1.011 [0.977-1.045],1.000,,Free Cholesterol to Total-Lipids in Small VLDL percentage
L-HDL-P,633,0.992 [0.965-1.020],1.000,,Concentration of Large HDL Particles
S-LDL-CE,543,0.977 [0.946-1.010],1.000,,Cholesteryl Esters in Small LDL
S-VLDL-C,618,0.975 [0.944-1.006],1.000,,Cholesterol in Small VLDL
VLDL-FC,630,0.970 [0.936-1.004],1.000,,Free Cholesterol in VLDL
XXL-VLDL-C,589,0.968 [0.936-1.001],1.000,,Cholesterol in Chylomicrons and Extremely Large VLDL
