Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Leu,36,1.185 [0.991-1.416],1.000,,Leucine
XL-VLDL-C%,486,1.040 [0.990-1.093],1.000,,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-LDL-FC%,578,1.038 [1.003-1.075],1.000,,Free Cholesterol to Total-Lipids in Small LDL percentage
XXL-VLDL-PL%,261,1.030 [0.987-1.076],1.000,,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-VLDL-TG%,564,1.011 [0.971-1.052],1.000,,Triglycerides to Total-Lipids in Small VLDL percentage
VLDL-P,640,0.920 [0.891-0.949],0.029,*,Concentration of VLDL Particles
S-VLDL-PL,664,0.918 [0.889-0.947],0.020,*,Phospholipids in Small VLDL
S-VLDL-C,618,0.916 [0.887-0.945],0.010,**,Cholesterol in Small VLDL
ApoB/ApoA1,542,0.913 [0.882-0.945],0.048,*,Apolipoprotein B to Apolipoprotein A1 ratio
VLDL-CE,621,0.912 [0.883-0.941],0.002,**,Cholesteryl Esters in VLDL
VLDL-C,644,0.911 [0.882-0.941],0.005,**,VLDL Cholesterol
VLDL-PL,674,0.910 [0.879-0.942],0.025,*,Phospholipids in VLDL
VLDL-FC,630,0.909 [0.879-0.941],0.009,**,Free Cholesterol in VLDL
S-LDL-L,511,0.909 [0.878-0.942],0.023,*,Total-Lipids in Small LDL
M-VLDL-P,612,0.909 [0.879-0.941],0.010,*,Concentration of Medium VLDL Particles
S-VLDL-FC,593,0.909 [0.879-0.939],0.002,**,Free Cholesterol in Small VLDL
L-LDL-P,541,0.908 [0.878-0.939],0.005,**,Concentration of Large LDL Particles
M-VLDL-FC,594,0.907 [0.877-0.938],0.002,**,Free Cholesterol in Medium VLDL
Non-HDL-C,563,0.907 [0.875-0.939],0.014,*,Total-Cholesterol Minus HDL-C
M-VLDL-CE,487,0.906 [0.873-0.940],0.032,*,Cholesteryl Esters in Medium VLDL
Remnant-C,577,0.905 [0.875-0.936],0.002,**,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-VLDL-PL,632,0.905 [0.875-0.936],9.518e-04,***,Phospholipids in Medium VLDL
S-LDL-CE,543,0.905 [0.873-0.937],0.007,**,Cholesteryl Esters in Small LDL
M-VLDL-L,589,0.904 [0.872-0.938],0.015,*,Total-Lipids in Medium VLDL
IDL-P,505,0.904 [0.874-0.935],0.001,**,Concentration of IDL Particles
LDL-P,552,0.904 [0.874-0.935],9.827e-04,***,Concentration of LDL Particles
S-LDL-P,566,0.903 [0.874-0.934],7.020e-04,***,Concentration of Small LDL Particles
ApoB,565,0.903 [0.873-0.933],2.189e-04,***,Apolipoprotein B
M-LDL-P,508,0.900 [0.868-0.933],0.003,**,Concentration of Medium LDL Particles
M-VLDL-C,535,0.898 [0.869-0.929],1.246e-04,***,Cholesterol in Medium VLDL
