Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-FC%,173,1.104 [1.025-1.189],1.000,,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-6%,366,1.069 [0.998-1.146],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
HDL-L,598,1.054 [0.997-1.114],1.000,,Total-Lipids in HDL
L-VLDL-PL%,580,1.007 [0.963-1.052],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
S-VLDL-P,669,1.001 [0.951-1.055],1.000,,Concentration of Small VLDL Particles
LDL-PL,473,1.000 [0.943-1.060],1.000,,Phospholipids in LDL
S-HDL-TG,681,0.985 [0.938-1.035],1.000,,Triglycerides in Small HDL
S-HDL-TG%,677,0.985 [0.941-1.031],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
XL-VLDL-C,639,0.978 [0.928-1.031],1.000,,Cholesterol in Very Large VLDL
Gln,113,0.978 [0.896-1.068],1.000,,Glutamine
