Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-LDL-FC,407,1.255 [1.193-1.320],3.087e-13,***,Free Cholesterol in Medium LDL
LDL-FC,411,1.254 [1.192-1.319],4.249e-13,***,Free Cholesterol in LDL
LDL-C,476,1.245 [1.187-1.307],1.178e-13,***,LDL Cholesterol
LDL-PL,473,1.243 [1.185-1.304],8.306e-14,***,Phospholipids in LDL
Clinical LDL-C,463,1.243 [1.184-1.305],5.268e-13,***,Clinical LDL Cholesterol
M-LDL-PL,492,1.243 [1.185-1.303],5.225e-14,***,Phospholipids in Medium LDL
L-LDL-PL,492,1.241 [1.183-1.302],2.800e-13,***,Phospholipids in Large LDL
S-LDL-C,489,1.240 [1.182-1.301],2.836e-13,***,Cholesterol in Small LDL
M-LDL-C,525,1.238 [1.179-1.299],1.101e-12,***,Cholesterol in Medium LDL
S-LDL-L,511,1.236 [1.181-1.294],2.266e-14,***,Total-Lipids in Small LDL
L-LDL-FC,474,1.235 [1.177-1.297],3.991e-12,***,Free Cholesterol in Large LDL
LDL-CE,506,1.234 [1.176-1.294],1.561e-12,***,Cholesteryl Esters in LDL
S-LDL-PL,409,1.230 [1.174-1.290],1.768e-12,***,Phospholipids in Small LDL
LDL-L,502,1.230 [1.174-1.290],1.198e-12,***,Total-Lipids in LDL
L-LDL-C,488,1.230 [1.173-1.289],2.657e-12,***,Cholesterol in Large LDL
S-LDL-CE,543,1.229 [1.173-1.287],6.736e-13,***,Cholesteryl Esters in Small LDL
L-LDL-CE,502,1.229 [1.172-1.288],1.675e-12,***,Cholesteryl Esters in Large LDL
S-LDL-FC,410,1.228 [1.172-1.287],2.142e-12,***,Free Cholesterol in Small LDL
M-LDL-L,531,1.228 [1.171-1.287],3.953e-12,***,Total-Lipids in Medium LDL
M-LDL-P,508,1.225 [1.167-1.287],1.431e-10,***,Concentration of Medium LDL Particles
L-LDL-L,508,1.223 [1.168-1.281],2.630e-12,***,Total-Lipids in Large LDL
M-VLDL-CE,487,1.220 [1.161-1.283],1.466e-09,***,Cholesteryl Esters in Medium VLDL
M-LDL-CE,550,1.210 [1.154-1.269],8.125e-10,***,Cholesteryl Esters in Medium LDL
S-LDL-P,566,1.209 [1.155-1.264],4.752e-11,***,Concentration of Small LDL Particles
M-VLDL-C,535,1.207 [1.152-1.265],8.516e-10,***,Cholesterol in Medium VLDL
Non-HDL-C,563,1.205 [1.151-1.262],3.443e-10,***,Total-Cholesterol Minus HDL-C
LDL-P,552,1.203 [1.150-1.258],3.172e-10,***,Concentration of LDL Particles
L-LDL-P,541,1.203 [1.149-1.259],4.928e-10,***,Concentration of Large LDL Particles
IDL-P,505,1.202 [1.148-1.260],1.993e-09,***,Concentration of IDL Particles
ApoB,565,1.199 [1.147-1.253],1.970e-10,***,Apolipoprotein B
Total-CE,575,1.196 [1.141-1.253],2.113e-08,***,Total-Esterified Cholesterol
Total-C,563,1.195 [1.140-1.253],3.631e-08,***,Total-Cholesterol
IDL-CE,553,1.191 [1.137-1.248],5.162e-08,***,Cholesteryl Esters in IDL
Total-FC,546,1.190 [1.136-1.247],4.755e-08,***,Total-Free Cholesterol
M-VLDL-FC,594,1.190 [1.137-1.244],8.311e-09,***,Free Cholesterol in Medium VLDL
IDL-C,568,1.184 [1.130-1.240],2.205e-07,***,Cholesterol in IDL
S-VLDL-FC,593,1.177 [1.126-1.230],1.153e-07,***,Free Cholesterol in Small VLDL
Remnant-C,577,1.177 [1.125-1.231],3.528e-07,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
ApoB/ApoA1,542,1.177 [1.124-1.232],9.597e-07,***,Apolipoprotein B to Apolipoprotein A1 ratio
IDL-L,573,1.177 [1.126-1.229],6.218e-08,***,Total-Lipids in IDL
L-LDL-C%,403,1.177 [1.118-1.239],1.414e-04,***,Cholesterol to Total-Lipids in Large LDL percentage
IDL-FC,587,1.170 [1.118-1.225],3.701e-06,***,Free Cholesterol in IDL
M-VLDL-P,612,1.168 [1.117-1.222],1.958e-06,***,Concentration of Medium VLDL Particles
M-VLDL-L,589,1.165 [1.114-1.217],3.105e-06,***,Total-Lipids in Medium VLDL
M-VLDL-PL,632,1.164 [1.115-1.216],2.097e-06,***,Phospholipids in Medium VLDL
IDL-PL,591,1.154 [1.107-1.204],5.115e-06,***,Phospholipids in IDL
XS-VLDL-FC%,460,1.154 [1.096-1.215],0.010,*,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Total-L,626,1.154 [1.105-1.205],2.379e-05,***,Total-Lipids in Lipoprotein Particles
VLDL-CE,621,1.146 [1.099-1.195],4.405e-05,***,Cholesteryl Esters in VLDL
S-VLDL-C%,527,1.144 [1.091-1.200],0.008,**,Cholesterol to Total-Lipids in Small VLDL percentage
S-VLDL-PL,664,1.141 [1.095-1.190],1.177e-04,***,Phospholipids in Small VLDL
S-VLDL-C,618,1.139 [1.092-1.188],2.719e-04,***,Cholesterol in Small VLDL
VLDL-FC,630,1.136 [1.089-1.185],6.981e-04,***,Free Cholesterol in VLDL
VLDL-C,644,1.135 [1.088-1.183],6.921e-04,***,VLDL Cholesterol
M-VLDL-FC%,574,1.132 [1.081-1.185],0.036,*,Free Cholesterol to Total-Lipids in Medium VLDL percentage
XL-VLDL-CE,617,1.130 [1.083-1.178],0.003,**,Cholesteryl Esters in Very Large VLDL
VLDL-PL,674,1.122 [1.077-1.169],0.008,**,Phospholipids in VLDL
S-VLDL-CE,626,1.121 [1.076-1.168],0.009,**,Cholesteryl Esters in Small VLDL
VLDL-P,640,1.120 [1.076-1.166],0.007,**,Concentration of VLDL Particles
L-VLDL-CE,614,1.119 [1.073-1.167],0.034,*,Cholesteryl Esters in Large VLDL
XS-VLDL-CE,620,1.112 [1.069-1.157],0.043,*,Cholesteryl Esters in Very Small VLDL
HDL-TG,593,0.996 [0.962-1.031],1.000,,Triglycerides in HDL
S-HDL-PL,489,0.959 [0.912-1.008],1.000,,Phospholipids in Small HDL
M-VLDL-TG%,609,0.893 [0.853-0.935],0.419,,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,564,0.873 [0.834-0.914],0.002,**,Triglycerides to Total-Lipids in Small VLDL percentage
S-HDL-PL%,367,0.871 [0.827-0.916],0.027,*,Phospholipids to Total-Lipids in Small HDL percentage
