Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
HDL-FC,599,1.048 [1.003-1.094],1.000,,Free Cholesterol in HDL
XL-HDL-P,581,1.043 [0.986-1.103],1.000,,Concentration of Very Large HDL Particles
S-LDL-FC,410,1.025 [0.976-1.076],1.000,,Free Cholesterol in Small LDL
HDL-size,600,1.022 [0.978-1.067],1.000,,Average Diameter for HDL Particles
Citrate,102,1.021 [0.893-1.166],1.000,,Citrate
XL-VLDL-FC,610,0.995 [0.924-1.073],1.000,,Free Cholesterol in Very Large VLDL
S-VLDL-FC,593,0.986 [0.939-1.034],1.000,,Free Cholesterol in Small VLDL
S-HDL-TG%,677,0.985 [0.923-1.051],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
LA%,226,0.936 [0.883-0.992],1.000,,Linoleic Acid to Total-Fatty Acids percentage
Acetate,13,0.867 [0.520-1.445],1.000,,Acetate
