Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-HDL-PL%,489,1.378 [1.157-1.642],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
M-VLDL-TG,613,1.182 [1.013-1.379],1.000,,Triglycerides in Medium VLDL
M-VLDL-P,612,1.090 [0.934-1.273],1.000,,Concentration of Medium VLDL Particles
M-HDL-TG,617,1.088 [0.956-1.239],1.000,,Triglycerides in Medium HDL
S-HDL-L,442,1.060 [0.881-1.276],1.000,,Total-Lipids in Small HDL
L-HDL-FC%,532,0.755 [0.664-0.858],1.000,,Free Cholesterol to Total-Lipids in Large HDL percentage
XL-HDL-FC,590,0.725 [0.634-0.829],0.647,,Free Cholesterol in Very Large HDL
L-HDL-C%,622,0.699 [0.601-0.814],0.888,,Cholesterol to Total-Lipids in Large HDL percentage
XS-VLDL-CE%,644,0.689 [0.591-0.803],0.428,,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
M-VLDL-CE%,597,0.675 [0.572-0.796],0.789,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
