Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Acetone,15,1.167 [0.894-1.524],1.000,,Acetone
HDL-size,600,1.029 [1.000-1.059],1.000,,Average Diameter for HDL Particles
XL-HDL-C,653,1.015 [0.984-1.046],1.000,,Cholesterol in Very Large HDL
L-VLDL-CE%,492,1.006 [0.967-1.046],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-HDL-TG,449,1.005 [0.980-1.031],1.000,,Triglycerides in Large HDL
XS-VLDL-PL,635,0.993 [0.966-1.020],1.000,,Phospholipids in Very Small VLDL
M-HDL-TG%,657,0.990 [0.961-1.021],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
XL-VLDL-PL,607,0.974 [0.940-1.010],1.000,,Phospholipids in Very Large VLDL
S-HDL-P,416,0.971 [0.929-1.014],1.000,,Concentration of Small HDL Particles
L-LDL-L,508,0.951 [0.917-0.987],1.000,,Total-Lipids in Large LDL
