Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-HDL-P,598,1.064 [1.010-1.121],1.000,,Concentration of Medium HDL Particles
HDL-PL,590,1.050 [1.000-1.102],1.000,,Phospholipids in HDL
S-HDL-C,410,1.028 [0.968-1.091],1.000,,Cholesterol in Small HDL
S-VLDL-P,669,1.003 [0.961-1.047],1.000,,Concentration of Small VLDL Particles
L-LDL-CE,502,1.003 [0.957-1.051],1.000,,Cholesteryl Esters in Large LDL
Tyr,120,0.999 [0.894-1.116],1.000,,Tyrosine
XXL-VLDL-P,529,0.999 [0.948-1.053],1.000,,Concentration of Chylomicrons and Extremely Large VLDL Particles
XS-VLDL-TG,678,0.997 [0.961-1.035],1.000,,Triglycerides in Very Small VLDL
XL-VLDL-L,578,0.991 [0.943-1.040],1.000,,Total-Lipids in Very Large VLDL
Omega-6/Omega-3,257,0.969 [0.941-0.999],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
