Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-C,589,1.074 [0.951-1.213],1.000,,Cholesterol in Chylomicrons and Extremely Large VLDL
XL-VLDL-CE,617,1.065 [0.945-1.201],1.000,,Cholesteryl Esters in Very Large VLDL
VLDL-CE,621,1.048 [0.932-1.177],1.000,,Cholesteryl Esters in VLDL
L-LDL-TG%,474,1.032 [0.923-1.154],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-PL,635,1.013 [0.922-1.113],1.000,,Phospholipids in Very Small VLDL
XL-HDL-TG,489,0.977 [0.891-1.071],1.000,,Triglycerides in Very Large HDL
L-VLDL-TG%,369,0.930 [0.824-1.050],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
PUFA,699,0.880 [0.791-0.980],1.000,,Polyunsaturated Fatty Acids
M-HDL-C,607,0.833 [0.733-0.947],1.000,,Cholesterol in Medium HDL
S-HDL-P,416,0.766 [0.659-0.890],1.000,,Concentration of Small HDL Particles
