Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XL-VLDL-CE%,485,1.100 [1.037-1.167],1.000,,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
Omega-6%,366,1.093 [1.016-1.176],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
S-LDL-PL%,510,1.031 [0.979-1.086],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
L-LDL-PL%,382,1.010 [0.968-1.055],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
XL-HDL-PL%,441,1.003 [0.962-1.047],1.000,,Phospholipids to Total-Lipids in Very Large HDL percentage
Omega-3,420,0.999 [0.969-1.031],1.000,,Omega-3 Fatty Acids
M-LDL-CE,550,0.959 [0.911-1.009],1.000,,Cholesteryl Esters in Medium LDL
S-LDL-TG,690,0.947 [0.906-0.989],1.000,,Triglycerides in Small LDL
L-VLDL-TG,567,0.942 [0.893-0.995],1.000,,Triglycerides in Large VLDL
M-VLDL-P,612,0.938 [0.893-0.986],1.000,,Concentration of Medium VLDL Particles
