Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Omega-6/Omega-3,257,1.102 [1.068-1.136],1.373e-04,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
L-HDL-TG%,637,1.089 [1.046-1.135],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
XXL-VLDL-L,514,1.077 [1.022-1.134],1.000,,Total-Lipids in Chylomicrons and Extremely Large VLDL
HDL-TG,593,1.007 [0.966-1.050],1.000,,Triglycerides in HDL
M-VLDL-TG,613,1.002 [0.957-1.048],1.000,,Triglycerides in Medium VLDL
Omega-3%,215,0.909 [0.881-0.937],2.952e-04,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Omega-3,420,0.903 [0.874-0.932],1.654e-04,***,Omega-3 Fatty Acids
Unsaturation,310,0.894 [0.863-0.927],2.015e-04,***,Degree of Unsaturation
DHA,289,0.893 [0.858-0.929],0.004,**,Docosahexaenoic Acid
PUFA,699,0.882 [0.843-0.922],0.009,**,Polyunsaturated Fatty Acids
