Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-HDL-C,607,1.057 [1.036-1.079],0.025,*,Cholesterol in Medium HDL
Total-FA,654,1.057 [1.034-1.081],0.220,,Total-Fatty Acids
M-HDL-P,598,1.055 [1.032-1.078],0.302,,Concentration of Medium HDL Particles
M-HDL-CE,607,1.054 [1.033-1.076],0.100,,Cholesteryl Esters in Medium HDL
PUFA,699,1.052 [1.030-1.074],0.464,,Polyunsaturated Fatty Acids
Tyr,120,0.998 [0.967-1.031],1.000,,Tyrosine
XL-HDL-TG%,642,0.998 [0.983-1.013],1.000,,Triglycerides to Total-Lipids in Very Large HDL percentage
S-VLDL-CE%,509,0.996 [0.983-1.009],1.000,,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
LA%,226,0.989 [0.972-1.006],1.000,,Linoleic Acid to Total-Fatty Acids percentage
M-VLDL-TG%,609,0.987 [0.974-1.001],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
